code1,code,ssp_from_true,dseq_from_true,dpos_from_true,taxa_num,msa_length,constant_sites_pct,n_unique_sites,entropy_mean,entropy_25_pct,entropy_75_pct,entropy_sum,entropy_max,num_gap_segments_norm,av_gap_segment_length,gaps_len_one,gaps_len_two,gaps_len_three,gaps_len_four_plus,num_unique_gaps,num_unique_gaps_norm,avg_unique_gap_length,gaps_1seq_len1,gaps_2seq_len1,gaps_1seq_len2,gaps_2seq_len2,gaps_1seq_len3,gaps_2seq_len3,gaps_1seq_len4plus,gaps_2seq_len4plus,gaps_all_except_1_len1,gaps_all_except_1_len2,gaps_all_except_1_len3,gaps_all_except_1_len4plus,num_cols_no_gaps,num_cols_1_gap,num_cols_2_gaps,num_cols_all_gaps_except1,single_char_count,double_char_count,seq_max_len,seq_min_len,bl_sum,bl_mean,bl_25_pct,bl_75_pct,bl_max,bl_min,parsimony_mean,parsimony_sum,parsimony_max,parsimony_min,parsimony_25_pct,parsimony_75_pct,sp_match_count,sp_match_count_norm,sp_mismatch_count,sp_mismatch_count_norm,sp_go,sp_go_norm,sp_ge,sp_ge_norm,sp_match_BLOSUM62,sp_match_norm_BLOSUM62,sp_mismatch_BLOSUM62,sp_mismatch_norm_BLOSUM62,sp_BLOSUM62_GO_-10_GE_-0.5,sp_norm_BLOSUM62_GO_-10_GE_-0.5,sp_BLOSUM62_GO_-6_GE_-0.5,sp_norm_BLOSUM62_GO_-6_GE_-0.5,sp_BLOSUM62_GO_-10_GE_-1,sp_norm_BLOSUM62_GO_-10_GE_-1,sp_BLOSUM62_GO_-6_GE_-1,sp_norm_BLOSUM62_GO_-6_GE_-1,sp_BLOSUM62_GO_-10_GE_-0.2,sp_norm_BLOSUM62_GO_-10_GE_-0.2,sp_BLOSUM62_GO_-6_GE_-0.2,sp_norm_BLOSUM62_GO_-6_GE_-0.2,sp_match_PAM250,sp_match_norm_PAM250,sp_mismatch_PAM250,sp_mismatch_norm_PAM250,sp_PAM250_GO_-10_GE_-0.5,sp_norm_PAM250_GO_-10_GE_-0.5,sp_PAM250_GO_-6_GE_-0.5,sp_norm_PAM250_GO_-6_GE_-0.5,sp_PAM250_GO_-10_GE_-1,sp_norm_PAM250_GO_-10_GE_-1,sp_PAM250_GO_-6_GE_-1,sp_norm_PAM250_GO_-6_GE_-1,sp_PAM250_GO_-10_GE_-0.2,sp_norm_PAM250_GO_-10_GE_-0.2,sp_PAM250_GO_-6_GE_-0.2,sp_norm_PAM250_GO_-6_GE_-0.2,sp_HENIKOFF_with_gaps_BLOSUM62_GO_-10_GE_-0.5,sp_HENIKOFF_without_gaps_BLOSUM62_GO_-10_GE_-0.5,sp_CLUSTAL_WEIGHTS_mid_root_BLOSUM62_GO_-10_GE_-0.5,sp_CLUSTAL_WEIGHTS_diff_sum_BLOSUM62_GO_-10_GE_-0.5,sp_HENIKOFF_with_gaps_BLOSUM62_GO_-6_GE_-0.5,sp_HENIKOFF_without_gaps_BLOSUM62_GO_-6_GE_-0.5,sp_CLUSTAL_WEIGHTS_mid_root_BLOSUM62_GO_-6_GE_-0.5,sp_CLUSTAL_WEIGHTS_diff_sum_BLOSUM62_GO_-6_GE_-0.5,sp_HENIKOFF_with_gaps_BLOSUM62_GO_-10_GE_-1,sp_HENIKOFF_without_gaps_BLOSUM62_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_mid_root_BLOSUM62_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_diff_sum_BLOSUM62_GO_-10_GE_-1,sp_HENIKOFF_with_gaps_BLOSUM62_GO_-6_GE_-1,sp_HENIKOFF_without_gaps_BLOSUM62_GO_-6_GE_-1,sp_CLUSTAL_WEIGHTS_mid_root_BLOSUM62_GO_-6_GE_-1,sp_CLUSTAL_WEIGHTS_diff_sum_BLOSUM62_GO_-6_GE_-1,sp_HENIKOFF_with_gaps_BLOSUM62_GO_-10_GE_-0.2,sp_HENIKOFF_without_gaps_BLOSUM62_GO_-10_GE_-0.2,sp_CLUSTAL_WEIGHTS_mid_root_BLOSUM62_GO_-10_GE_-0.2,sp_CLUSTAL_WEIGHTS_diff_sum_BLOSUM62_GO_-10_GE_-0.2,sp_HENIKOFF_with_gaps_BLOSUM62_GO_-6_GE_-0.2,sp_HENIKOFF_without_gaps_BLOSUM62_GO_-6_GE_-0.2,sp_CLUSTAL_WEIGHTS_mid_root_BLOSUM62_GO_-6_GE_-0.2,sp_CLUSTAL_WEIGHTS_diff_sum_BLOSUM62_GO_-6_GE_-0.2,sp_HENIKOFF_with_gaps_PAM250_GO_-10_GE_-0.5,sp_HENIKOFF_without_gaps_PAM250_GO_-10_GE_-0.5,sp_CLUSTAL_WEIGHTS_mid_root_PAM250_GO_-10_GE_-0.5,sp_CLUSTAL_WEIGHTS_diff_sum_PAM250_GO_-10_GE_-0.5,sp_HENIKOFF_with_gaps_PAM250_GO_-6_GE_-0.5,sp_HENIKOFF_without_gaps_PAM250_GO_-6_GE_-0.5,sp_CLUSTAL_WEIGHTS_mid_root_PAM250_GO_-6_GE_-0.5,sp_CLUSTAL_WEIGHTS_diff_sum_PAM250_GO_-6_GE_-0.5,sp_HENIKOFF_with_gaps_PAM250_GO_-10_GE_-1,sp_HENIKOFF_without_gaps_PAM250_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_mid_root_PAM250_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_diff_sum_PAM250_GO_-10_GE_-1,sp_HENIKOFF_with_gaps_PAM250_GO_-6_GE_-1,sp_HENIKOFF_without_gaps_PAM250_GO_-6_GE_-1,sp_CLUSTAL_WEIGHTS_mid_root_PAM250_GO_-6_GE_-1,sp_CLUSTAL_WEIGHTS_diff_sum_PAM250_GO_-6_GE_-1,sp_HENIKOFF_with_gaps_PAM250_GO_-10_GE_-0.2,sp_HENIKOFF_without_gaps_PAM250_GO_-10_GE_-0.2,sp_CLUSTAL_WEIGHTS_mid_root_PAM250_GO_-10_GE_-0.2,sp_CLUSTAL_WEIGHTS_diff_sum_PAM250_GO_-10_GE_-0.2,sp_HENIKOFF_with_gaps_PAM250_GO_-6_GE_-0.2,sp_HENIKOFF_without_gaps_PAM250_GO_-6_GE_-0.2,sp_CLUSTAL_WEIGHTS_mid_root_PAM250_GO_-6_GE_-0.2,sp_CLUSTAL_WEIGHTS_diff_sum_PAM250_GO_-6_GE_-0.2,k_mer_max_K5,k_mer_average_K5,k_mer_95_pct_K5,k_mer_90_pct_K5,kmer_sum_of_top_10_K5,k_mer_max_K10,k_mer_average_K10,k_mer_95_pct_K10,k_mer_90_pct_K10,kmer_sum_of_top_10_K10,k_mer_max_K20,k_mer_average_K20,k_mer_95_pct_K20,k_mer_90_pct_K20,kmer_sum_of_top_10_K20
126014,MSA.MAFFT.aln.With_Names,0.12,0.088,0.164,70,1066,0.564,814,0.408,0,0.693,434.918,2.574,44.786,19.375,3.2,4.629,1.229,35.729,191,2.729,28.717,9,1,6,1,14,2,162,13,1,0,0,0,3,7,28,504,557,411,280,107,4.251,0.031,0.004,0.043,0.154,0.001,4.754,5068,48,1,1,2,199242,0.077,196610,0.076,21628,0.008,166016,0.064,1025638,0.398,-19901,-0.008,706449,0.274,792961,0.308,623441,0.242,709953,0.276,756253.8,0.294,842765.8,0.327,1017223,0.395,74233,0.029,792168,0.308,878680,0.341,709160,0.275,795672,0.309,841972.8,0.327,928484.8,0.361,108.364,103.012,1961.904,1908.35,130.26,125.867,2409.502,2345.426,85.266,78.433,1483.388,1441.099,107.162,101.287,1930.986,1878.175,122.223,117.76,2249.014,2188.701,144.119,140.614,2696.612,2625.777,126.672,121.839,2320.665,2257.128,148.568,144.694,2768.263,2694.204,103.574,97.26,1842.149,1789.877,125.469,120.115,2289.747,2226.953,140.531,136.587,2607.775,2537.478,162.426,159.441,3055.373,2974.554,49606,8.33,7,4,51865,38407,4.247,5,2,40412,22567,2.372,3,2,23816
126014,MAFFT_b0#0098_thT_tree_85_OP_1.0876519560757543_Split_98.fasta,0.152,0.102,0.175,70,1219,0.671,852,0.319,0,0.693,388.591,2.572,70.314,14.516,6.029,7.314,5.9,51.071,163,2.329,30.54,10,5,13,2,11,1,129,35,0,0,0,0,5,9,21,692,1872,1097,280,107,3.68,0.027,0.004,0.038,0.13,0.001,4.183,5099,48,1,1,2,197530,0.067,193813,0.066,30371,0.01,175034,0.059,1015933,0.345,-22678,-0.008,602028,0.205,723512,0.246,514511,0.175,635995,0.216,654538.2,0.222,776022.2,0.264,1007320,0.342,66481,0.023,682574,0.232,804058,0.273,595057,0.202,716541,0.243,735084.2,0.25,856568.2,0.291,88.615,81.356,1130.188,1131.243,117.131,110.973,1546.373,1548.041,64.702,55.661,770.176,770.698,93.219,85.278,1186.362,1187.497,102.962,96.773,1346.194,1347.57,131.479,126.39,1762.38,1764.368,105.51,98.633,1368.051,1369.435,134.027,128.251,1784.237,1786.234,81.597,72.938,1008.04,1008.891,110.114,102.556,1424.226,1425.689,119.858,114.05,1584.058,1585.762,148.375,143.667,2000.244,2002.561,54465,10.634,10,5,57437,39965,4.897,6,3,42253,23894,2.591,4,2,25104
126014,MAFFT_b1#0033_htT_tree_23_OP_2.8095393482122226_Split_33.fasta,0.182,0.124,0.199,70,1093,0.644,744,0.374,0,0.693,408.926,2.629,50.471,17.727,5.543,5.6,1.957,37.371,96,1.371,43.781,3,0,3,2,5,0,85,14,1,0,0,0,4,8,27,631,506,836,280,107,4.152,0.03,0.004,0.04,0.161,0.001,4.72,5159,47,1,1,3,192997,0.073,205086,0.078,19147,0.007,161554,0.061,992913,0.376,-44927,-0.017,675739,0.256,752327,0.285,594962,0.225,671550,0.254,724205.2,0.274,800793.2,0.303,984526,0.373,44057,0.017,756336,0.287,832924,0.316,675559,0.256,752147,0.285,804802.2,0.305,881390.2,0.334,105.223,99.895,1834.187,1810.763,122.76,117.944,2165.257,2136.89,83.09,76.382,1403.712,1386.025,100.626,94.432,1734.782,1712.152,118.503,114.002,2092.473,2065.605,136.04,132.052,2423.542,2391.732,121.894,116.917,2141.423,2113.061,139.43,134.967,2472.492,2439.188,99.761,93.404,1710.947,1688.323,117.297,111.454,2042.017,2014.45,135.174,131.025,2399.708,2367.903,152.71,149.074,2730.778,2694.03,50583,8.423,8,4,52805,39052,4.26,5,3,41020,23374,2.376,4,2,24435
126014,MAFFT_b0#0103_ttT_tree_48_OP_2.7980377771908604_Split_103.fasta,0.198,0.128,0.201,70,1178,0.711,730,0.31,0,0.634,365.555,2.604,54.9,17.845,5.386,2.071,2.3,45.143,94,1.343,44.33,4,0,3,0,5,0,82,15,0,1,0,0,6,15,23,766,680,931,280,107,3.803,0.028,0.005,0.037,0.149,0.001,4.377,5156,48,1,1,2,189697,0.067,208080,0.073,23516,0.008,162166,0.057,974858,0.343,-52199,-0.018,606416,0.213,700480,0.246,525333,0.185,619397,0.218,655065.8,0.23,749129.8,0.263,966560,0.34,34980,0.012,685297,0.241,779361,0.274,604214,0.212,698278,0.245,733946.8,0.258,828010.8,0.291,92.422,86.5,1377.6,1344.008,113.232,107.756,1707.906,1667.308,70.409,63.03,1016.764,989.531,91.218,84.287,1347.07,1312.832,105.63,100.581,1594.101,1556.693,126.439,121.838,1924.407,1879.994,108.583,102.857,1630.899,1591.233,129.392,124.113,1961.205,1914.534,86.57,79.387,1270.063,1236.757,107.379,100.644,1600.369,1560.058,121.791,116.938,1847.4,1803.919,142.6,138.195,2177.706,2127.22,54790,9.59,9,4,57385,41898,4.569,6,3,43950,25548,2.512,4,2,26652
126014,MAFFT_b1#0054_htT_tree_50_OP_1.4314281006893206_Split_54.fasta,0.148,0.1,0.17,70,1180,0.671,784,0.327,0,0.693,385.31,2.601,66.043,14.865,9.486,5.414,5.329,45.814,134,1.914,35.231,7,1,10,1,8,1,109,22,1,0,0,0,4,12,25,709,1814,807,280,107,3.776,0.028,0.004,0.039,0.13,0.001,4.304,5079,48,1,1,2,198194,0.07,197085,0.069,25545,0.009,167162,0.059,1019246,0.358,-23950,-0.008,656265,0.23,758445,0.266,572684,0.201,674864,0.237,706413.6,0.248,808593.6,0.284,1011782,0.355,69041,0.024,741792,0.26,843972,0.296,658211,0.231,760391,0.267,791940.6,0.278,894120.6,0.314,101.872,96.045,1416.188,1419.614,125.914,120.943,1792.334,1793.829,79.172,71.789,1052.7,1057.271,103.214,96.687,1428.846,1431.486,115.492,110.599,1634.281,1637.02,139.534,135.497,2010.427,2011.235,120.015,114.585,1691.738,1694.15,144.057,139.482,2067.884,2068.365,97.315,90.328,1328.25,1331.807,121.357,115.226,1704.396,1706.022,133.635,129.139,1909.831,1911.556,157.677,154.036,2285.976,2285.771,53351,10.138,10,4,56040,39819,4.804,6,3,42031,22795,2.504,4,2,24068
126014,MAFFT_b0#0085_thT_tree_83_OP_2.155927182903591_Split_85.fasta,0.17,0.113,0.179,70,1128,0.676,724,0.346,0,0.693,389.765,2.625,56.6,16.426,9.086,3.714,4.429,39.371,100,1.429,37.14,7,0,5,1,5,1,83,14,1,1,0,0,6,7,24,678,1031,691,280,107,3.945,0.029,0.005,0.039,0.138,0.001,4.509,5086,47,1,1,2,194858,0.072,201719,0.074,24569,0.009,164566,0.06,1002197,0.368,-38101,-0.014,636123,0.234,734399,0.27,553840,0.203,652116,0.239,685492.8,0.252,783768.8,0.288,993968,0.365,52774,0.019,718769,0.264,817045,0.3,636486,0.234,734762,0.27,768138.8,0.282,866414.8,0.318,97.789,92.344,1610.086,1511.732,120.438,115.652,2006.025,1888.484,75.457,68.566,1209.38,1129.253,98.106,91.874,1605.32,1506.005,111.188,106.611,1850.509,1741.219,133.837,129.919,2246.449,2117.972,115.148,110.042,1910.124,1795.026,137.797,133.35,2306.064,2171.778,92.817,86.264,1509.419,1412.547,115.466,109.572,1905.359,1789.299,128.547,124.309,2150.548,2024.513,151.196,147.617,2546.487,2401.266,51970,9.106,9,4,54385,40141,4.524,6,3,42270,24138,2.463,4,2,25496
126014,MAFFT_b0#0098_thH_tree_85_OP_1.0876519560757543_Split_98.fasta,0.152,0.102,0.175,70,1219,0.671,852,0.319,0,0.693,388.591,2.572,70.314,14.516,6.029,7.314,5.9,51.071,163,2.329,30.54,10,5,13,2,11,1,129,35,0,0,0,0,5,9,21,692,1872,1097,280,107,3.68,0.027,0.004,0.038,0.13,0.001,4.183,5099,48,1,1,2,197530,0.067,193813,0.066,30371,0.01,175034,0.059,1015933,0.345,-22678,-0.008,602028,0.205,723512,0.246,514511,0.175,635995,0.216,654538.2,0.222,776022.2,0.264,1007320,0.342,66481,0.023,682574,0.232,804058,0.273,595057,0.202,716541,0.243,735084.2,0.25,856568.2,0.291,88.615,81.356,1130.188,1131.243,117.131,110.973,1546.373,1548.041,64.702,55.661,770.176,770.698,93.219,85.278,1186.362,1187.497,102.962,96.773,1346.194,1347.57,131.479,126.39,1762.38,1764.368,105.51,98.633,1368.051,1369.435,134.027,128.251,1784.237,1786.234,81.597,72.938,1008.04,1008.891,110.114,102.556,1424.226,1425.689,119.858,114.05,1584.058,1585.762,148.375,143.667,2000.244,2002.561,54465,10.634,10,5,57437,39965,4.897,6,3,42253,23894,2.591,4,2,25104
126014,MAFFT_b0#0113_htT_tree_51_OP_1.8220601360996602_Split_113.fasta,0.148,0.099,0.171,70,1177,0.691,764,0.318,0,0.637,374.299,2.598,58.314,16.783,7.671,3.871,3,43.771,119,1.7,37.975,10,2,2,4,6,1,101,20,1,0,0,0,4,8,23,738,1215,756,280,107,3.788,0.028,0.005,0.037,0.132,0.001,4.332,5099,48,1,1,2,196053,0.069,200187,0.07,21691,0.008,165240,0.058,1007175,0.354,-32989,-0.012,674656,0.237,761420,0.268,592036,0.208,678800,0.239,724228,0.255,810992,0.285,999748,0.352,59165,0.021,759383,0.267,846147,0.298,676763,0.238,763527,0.269,808955,0.285,895719,0.315,107.152,101.965,1527.886,1494.25,126.916,122.197,1837.066,1797.862,84.714,78.023,1166.725,1139.525,104.477,98.255,1475.905,1443.137,120.615,116.331,1744.582,1707.086,140.379,136.562,2053.762,2010.698,125.143,120.433,1801.164,1762.068,144.906,140.665,2110.344,2065.679,102.704,96.49,1440.003,1407.342,122.468,116.722,1749.183,1710.954,138.606,134.798,2017.86,1974.903,158.37,155.03,2327.04,2278.515,54545,9.645,9,4,57066,41286,4.671,5,3,43365,24361,2.512,4,2,25611
126014,MAFFT_b1#0014_hhT_tree_22_OP_1.8978074920611192_Split_14.fasta,0.144,0.099,0.177,70,1144,0.635,812,0.364,0,0.693,416.618,2.605,59.986,15.766,5.929,5.357,2.657,46.043,116,1.657,39.69,8,0,6,2,9,0,93,19,0,0,0,0,0,8,26,631,1165,919,280,107,3.956,0.029,0.004,0.038,0.141,0.001,4.464,5107,49,1,1,2,195649,0.071,194725,0.07,27726,0.01,176972,0.064,1006254,0.364,-23664,-0.009,616844,0.223,727748,0.263,528358,0.191,639262,0.231,669935.6,0.242,780839.6,0.283,999929,0.362,70196,0.025,704379,0.255,815283,0.295,615893,0.223,726797,0.263,757470.6,0.274,868374.6,0.314,94.332,89.118,1444.299,1432.524,119.614,115.233,1874.433,1861.562,70.068,63.303,1017.804,1006.313,95.35,89.418,1447.939,1435.351,108.891,104.607,1700.196,1688.25,134.173,130.722,2130.33,2117.288,112.507,107.686,1744.214,1731.513,137.789,133.802,2174.348,2160.551,88.243,81.871,1317.719,1305.302,113.525,107.987,1747.854,1734.34,127.066,123.175,2000.111,1987.239,152.348,149.291,2430.245,2416.277,51585,9.5,9,4,54282,38699,4.571,6,3,40913,22097,2.475,4,2,23277
126014,MAFFT_b1#0037_hhT_tree_34_OP_2.1858321729487624_Split_37.fasta,0.162,0.109,0.174,70,1181,0.687,772,0.326,0,0.657,384.611,2.583,52.371,18.764,7.457,1.986,1.957,40.971,117,1.671,35.214,9,0,5,0,6,0,97,18,0,0,0,0,3,4,20,727,793,587,280,107,3.831,0.028,0.004,0.037,0.15,0.001,4.359,5148,48,1,1,2,193659,0.068,199546,0.07,24745,0.009,171310,0.06,996422,0.349,-34628,-0.012,628689,0.22,727669,0.255,543034,0.19,642014,0.225,680082,0.238,779062,0.273,988905,0.347,55166,0.019,710966,0.249,809946,0.284,625311,0.219,724291,0.254,762359,0.267,861339,0.302,98.071,92.495,1429.513,1405.83,119.973,114.799,1777.395,1747.894,74.958,67.788,1049.891,1031.053,96.86,90.092,1397.772,1373.117,111.938,107.319,1657.287,1630.696,133.84,129.623,2005.168,1972.76,115.094,109.939,1690.725,1662.443,136.996,132.243,2038.607,2004.507,91.981,85.232,1311.103,1287.666,113.884,107.537,1658.984,1629.73,128.962,124.763,1918.498,1887.309,150.864,147.067,2266.38,2229.373,56107,9.38,8,4,58583,43079,4.685,5,3,45246,26386,2.515,4,2,27619
