code,ssp_from_true,dseq_from_true,dpos_from_true
'bali_phy_msa.1.fas', 0.909, 0.841, 0.854
'bali_phy_msa.10.fas', 0.053, 0.031, 0.097
'bali_phy_msa.100.fas', 0.06, 0.034, 0.111
'bali_phy_msa.101.fas', 0.067, 0.039, 0.119
'bali_phy_msa.102.fas', 0.059, 0.035, 0.107
'bali_phy_msa.103.fas', 0.061, 0.036, 0.106
'bali_phy_msa.104.fas', 0.054, 0.032, 0.09
'bali_phy_msa.105.fas', 0.068, 0.041, 0.115
'bali_phy_msa.106.fas', 0.057, 0.034, 0.101
'bali_phy_msa.107.fas', 0.054, 0.031, 0.088
'bali_phy_msa.108.fas', 0.068, 0.04, 0.114
'bali_phy_msa.109.fas', 0.056, 0.032, 0.103
'bali_phy_msa.11.fas', 0.06, 0.034, 0.108
'bali_phy_msa.110.fas', 0.056, 0.031, 0.108
'bali_phy_msa.111.fas', 0.067, 0.039, 0.126
'bali_phy_msa.112.fas', 0.061, 0.035, 0.102
'bali_phy_msa.113.fas', 0.051, 0.029, 0.085
'bali_phy_msa.114.fas', 0.057, 0.032, 0.101
'bali_phy_msa.115.fas', 0.062, 0.035, 0.111
'bali_phy_msa.116.fas', 0.069, 0.041, 0.118
'bali_phy_msa.117.fas', 0.057, 0.033, 0.097
'bali_phy_msa.118.fas', 0.069, 0.041, 0.113
'bali_phy_msa.119.fas', 0.067, 0.038, 0.106
'bali_phy_msa.12.fas', 0.066, 0.038, 0.119
'bali_phy_msa.120.fas', 0.067, 0.039, 0.118
'bali_phy_msa.121.fas', 0.065, 0.038, 0.109
'bali_phy_msa.122.fas', 0.062, 0.036, 0.103
'bali_phy_msa.123.fas', 0.053, 0.03, 0.082
'bali_phy_msa.124.fas', 0.056, 0.032, 0.101
'bali_phy_msa.125.fas', 0.059, 0.035, 0.094
'bali_phy_msa.126.fas', 0.063, 0.036, 0.103
'bali_phy_msa.127.fas', 0.061, 0.034, 0.097
'bali_phy_msa.128.fas', 0.061, 0.036, 0.113
'bali_phy_msa.129.fas', 0.057, 0.032, 0.086
'bali_phy_msa.13.fas', 0.065, 0.037, 0.118
'bali_phy_msa.130.fas', 0.065, 0.038, 0.116
'bali_phy_msa.131.fas', 0.054, 0.032, 0.088
'bali_phy_msa.132.fas', 0.062, 0.035, 0.1
'bali_phy_msa.133.fas', 0.06, 0.035, 0.117
'bali_phy_msa.134.fas', 0.064, 0.037, 0.11
'bali_phy_msa.135.fas', 0.056, 0.033, 0.101
'bali_phy_msa.136.fas', 0.062, 0.036, 0.095
'bali_phy_msa.137.fas', 0.053, 0.031, 0.086
'bali_phy_msa.138.fas', 0.06, 0.034, 0.108
'bali_phy_msa.139.fas', 0.055, 0.031, 0.1
'bali_phy_msa.14.fas', 0.057, 0.034, 0.106
'bali_phy_msa.140.fas', 0.063, 0.036, 0.119
'bali_phy_msa.141.fas', 0.065, 0.036, 0.128
'bali_phy_msa.142.fas', 0.061, 0.036, 0.106
'bali_phy_msa.143.fas', 0.065, 0.037, 0.104
'bali_phy_msa.144.fas', 0.066, 0.039, 0.101
'bali_phy_msa.145.fas', 0.054, 0.032, 0.095
'bali_phy_msa.146.fas', 0.056, 0.033, 0.101
