code_K10,k_mer_max_K10,k_mer_average_K10,k_mer_95_pct_K10,k_mer_90_pct_K10,kmer_sum_of_top_10_K10
'bali_phy_msa.1.fas', 5112, 1.455, 1, 1, 5298
'bali_phy_msa.10.fas', 56770, 6.403, 8, 4, 59272
'bali_phy_msa.100.fas', 60359, 6.727, 8, 3, 62889
'bali_phy_msa.101.fas', 57690, 6.761, 8, 4, 60251
'bali_phy_msa.102.fas', 60534, 6.573, 7, 3, 63207
'bali_phy_msa.103.fas', 62635, 6.267, 7, 3, 64889
'bali_phy_msa.104.fas', 57450, 6.612, 8, 3, 60188
'bali_phy_msa.105.fas', 59786, 6.375, 7, 3, 62204
'bali_phy_msa.106.fas', 60702, 6.556, 7, 4, 63284
'bali_phy_msa.107.fas', 58261, 6.488, 7, 4, 60680
'bali_phy_msa.108.fas', 58811, 6.736, 8, 4, 61631
'bali_phy_msa.109.fas', 61304, 6.367, 7, 3, 63690
'bali_phy_msa.11.fas', 55284, 6.748, 7, 3, 58286
'bali_phy_msa.110.fas', 59738, 6.412, 8, 4, 62198
'bali_phy_msa.111.fas', 60104, 6.557, 7, 3, 62722
'bali_phy_msa.112.fas', 58935, 6.578, 8, 3, 61797
'bali_phy_msa.113.fas', 59237, 6.224, 7, 3, 61727
'bali_phy_msa.114.fas', 59392, 6.554, 7, 3, 61925
'bali_phy_msa.115.fas', 59073, 6.578, 7, 3, 61723
'bali_phy_msa.116.fas', 59493, 6.588, 8, 4, 62134
'bali_phy_msa.117.fas', 59226, 6.466, 7, 4, 61949
'bali_phy_msa.118.fas', 59780, 6.654, 8, 4, 62291
'bali_phy_msa.119.fas', 59910, 6.418, 7, 3, 62314
'bali_phy_msa.12.fas', 59539, 6.682, 7, 3, 61812
'bali_phy_msa.120.fas', 60111, 6.628, 8, 4, 62831
'bali_phy_msa.121.fas', 57469, 6.615, 7, 3, 60279
'bali_phy_msa.122.fas', 59783, 6.532, 7, 4, 62696
'bali_phy_msa.123.fas', 60686, 6.668, 8, 4, 63445
'bali_phy_msa.124.fas', 59157, 6.734, 8, 4, 61743
'bali_phy_msa.125.fas', 58243, 6.693, 7, 4, 60951
'bali_phy_msa.126.fas', 57715, 6.239, 7, 3, 60382
'bali_phy_msa.127.fas', 57953, 6.247, 7, 3, 60503
'bali_phy_msa.128.fas', 57654, 6.877, 7, 3, 60213
