code,rf_from_true
'bali_phy_msa.1.fas', 124
'bali_phy_msa.10.fas', 84
'bali_phy_msa.100.fas', 86
'bali_phy_msa.101.fas', 84
'bali_phy_msa.102.fas', 84
'bali_phy_msa.103.fas', 86
'bali_phy_msa.104.fas', 86
'bali_phy_msa.105.fas', 86
'bali_phy_msa.106.fas', 86
'bali_phy_msa.107.fas', 86
'bali_phy_msa.108.fas', 86
'bali_phy_msa.109.fas', 86
'bali_phy_msa.11.fas', 86
'bali_phy_msa.110.fas', 86
'bali_phy_msa.111.fas', 82
'bali_phy_msa.112.fas', 84
'bali_phy_msa.113.fas', 86
'bali_phy_msa.114.fas', 86
'bali_phy_msa.115.fas', 86
'bali_phy_msa.116.fas', 84
'bali_phy_msa.117.fas', 84
'bali_phy_msa.118.fas', 88
'bali_phy_msa.119.fas', 86
'bali_phy_msa.12.fas', 86
'bali_phy_msa.120.fas', 84
'bali_phy_msa.121.fas', 86
'bali_phy_msa.122.fas', 86
'bali_phy_msa.123.fas', 88
'bali_phy_msa.124.fas', 90
'bali_phy_msa.125.fas', 86
'bali_phy_msa.126.fas', 86
'bali_phy_msa.127.fas', 86
'bali_phy_msa.128.fas', 90
'bali_phy_msa.129.fas', 86
'bali_phy_msa.13.fas', 82
'bali_phy_msa.130.fas', 86
'bali_phy_msa.131.fas', 84
'bali_phy_msa.132.fas', 86
'bali_phy_msa.133.fas', 86
'bali_phy_msa.134.fas', 84
'bali_phy_msa.135.fas', 86
'bali_phy_msa.136.fas', 84
'bali_phy_msa.137.fas', 86
'bali_phy_msa.138.fas', 86
'bali_phy_msa.139.fas', 86
'bali_phy_msa.14.fas', 84
'bali_phy_msa.140.fas', 86
'bali_phy_msa.141.fas', 84
'bali_phy_msa.142.fas', 82
'bali_phy_msa.143.fas', 88
'bali_phy_msa.144.fas', 86
'bali_phy_msa.145.fas', 86
'bali_phy_msa.146.fas', 86
'bali_phy_msa.147.fas', 86
'bali_phy_msa.148.fas', 86
'bali_phy_msa.149.fas', 86
'bali_phy_msa.15.fas', 86
'bali_phy_msa.150.fas', 86
'bali_phy_msa.151.fas', 86
'bali_phy_msa.152.fas', 84
'bali_phy_msa.153.fas', 88
'bali_phy_msa.154.fas', 86
'bali_phy_msa.155.fas', 86
'bali_phy_msa.156.fas', 86
'bali_phy_msa.157.fas', 86
'bali_phy_msa.158.fas', 86
'bali_phy_msa.159.fas', 84
'bali_phy_msa.16.fas', 84
'bali_phy_msa.160.fas', 84
'bali_phy_msa.161.fas', 88
'bali_phy_msa.162.fas', 86
'bali_phy_msa.163.fas', 88
'bali_phy_msa.164.fas', 86
'bali_phy_msa.165.fas', 86
'bali_phy_msa.166.fas', 86
'bali_phy_msa.167.fas', 86
'bali_phy_msa.168.fas', 84
'bali_phy_msa.169.fas', 86
'bali_phy_msa.17.fas', 86
'bali_phy_msa.170.fas', 86
'bali_phy_msa.171.fas', 86
'bali_phy_msa.172.fas', 90
'bali_phy_msa.173.fas', 86
'bali_phy_msa.174.fas', 86
'bali_phy_msa.175.fas', 86
'bali_phy_msa.176.fas', 84
'bali_phy_msa.177.fas', 84
'bali_phy_msa.178.fas', 86
'bali_phy_msa.179.fas', 86
'bali_phy_msa.18.fas', 82
'bali_phy_msa.180.fas', 84
'bali_phy_msa.181.fas', 86
'bali_phy_msa.182.fas', 86
'bali_phy_msa.183.fas', 84
'bali_phy_msa.184.fas', 84
'bali_phy_msa.185.fas', 86
'bali_phy_msa.186.fas', 84
'bali_phy_msa.187.fas', 86
'bali_phy_msa.188.fas', 84
'bali_phy_msa.189.fas', 86
'bali_phy_msa.19.fas', 86
'bali_phy_msa.190.fas', 86
'bali_phy_msa.191.fas', 82
'bali_phy_msa.192.fas', 82
'bali_phy_msa.193.fas', 86
'bali_phy_msa.194.fas', 82
'bali_phy_msa.195.fas', 86
'bali_phy_msa.196.fas', 84
'bali_phy_msa.197.fas', 86
'bali_phy_msa.198.fas', 86
'bali_phy_msa.199.fas', 86
'bali_phy_msa.2.fas', 94
'bali_phy_msa.20.fas', 86
'bali_phy_msa.200.fas', 84
'bali_phy_msa.201.fas', 86
'bali_phy_msa.202.fas', 86
'bali_phy_msa.203.fas', 82
'bali_phy_msa.204.fas', 86
'bali_phy_msa.205.fas', 86
'bali_phy_msa.206.fas', 86
'bali_phy_msa.207.fas', 84
'bali_phy_msa.208.fas', 90
'bali_phy_msa.209.fas', 86
'bali_phy_msa.21.fas', 84
'bali_phy_msa.210.fas', 86
'bali_phy_msa.211.fas', 86
'bali_phy_msa.212.fas', 86
'bali_phy_msa.213.fas', 84
'bali_phy_msa.214.fas', 86
'bali_phy_msa.215.fas', 82
'bali_phy_msa.216.fas', 86
'bali_phy_msa.217.fas', 86
'bali_phy_msa.218.fas', 86
'bali_phy_msa.219.fas', 84
'bali_phy_msa.22.fas', 84
'bali_phy_msa.220.fas', 86
'bali_phy_msa.221.fas', 86
'bali_phy_msa.222.fas', 82
'bali_phy_msa.223.fas', 86
'bali_phy_msa.224.fas', 86
