code_PAM250_GO_-10_GE_-0.2,sp_match_count,sp_match_count_norm,sp_mismatch_count,sp_mismatch_count_norm,sp_go,sp_go_norm,sp_ge,sp_ge_norm,sp_match_PAM250,sp_match_norm_PAM250,sp_mismatch_PAM250,sp_mismatch_norm_PAM250,sp_PAM250_GO_-10_GE_-0.2,sp_norm_PAM250_GO_-10_GE_-0.2
'bali_phy_msa.1.fas', 59954.0, 0.089, 377658, 0.559, 2374, 0.004, 82496, 0.122, 280153.0, 0.414, -391455, -0.579, -151541.2, -0.224
'bali_phy_msa.10.fas', 199853.0, 0.055, 189365, 0.052, 18188, 0.005, 179284, 0.049, 1019823.0, 0.282, 74604, 0.021, 876690.2, 0.242
'bali_phy_msa.100.fas', 199389.0, 0.054, 188222, 0.051, 18016, 0.005, 182498, 0.049, 1015683.0, 0.275, 74124, 0.02, 873147.4, 0.237
'bali_phy_msa.101.fas', 199502.0, 0.054, 188906, 0.052, 18405, 0.005, 180904, 0.049, 1017899.0, 0.278, 74832, 0.02, 872500.2, 0.238
'bali_phy_msa.102.fas', 199382.0, 0.054, 188228, 0.051, 18103, 0.005, 182500, 0.05, 1016434.0, 0.276, 74804, 0.02, 873708.0, 0.238
'bali_phy_msa.103.fas', 199223.0, 0.054, 188105, 0.051, 18492, 0.005, 183064, 0.05, 1015680.0, 0.275, 75999, 0.021, 870146.2, 0.235
'bali_phy_msa.104.fas', 199977.0, 0.055, 188661, 0.052, 18228, 0.005, 180444, 0.049, 1018751.0, 0.279, 73757, 0.02, 874139.2, 0.239
'bali_phy_msa.105.fas', 199408.0, 0.055, 190732, 0.053, 17997, 0.005, 177440, 0.049, 1016527.0, 0.28, 74159, 0.02, 875228.0, 0.241
'bali_phy_msa.106.fas', 199527.0, 0.054, 187922, 0.051, 19356, 0.005, 182822, 0.049, 1018348.0, 0.276, 73218, 0.02, 861441.6, 0.233
'bali_phy_msa.107.fas', 199837.0, 0.054, 188493, 0.051, 18439, 0.005, 181060, 0.049, 1020969.0, 0.278, 76434, 0.021, 876801.0, 0.239
'bali_phy_msa.108.fas', 199335.0, 0.054, 188709, 0.051, 18083, 0.005, 181632, 0.049, 1016204.0, 0.276, 75254, 0.02, 874301.6, 0.237
'bali_phy_msa.109.fas', 199497.0, 0.054, 188122, 0.051, 18160, 0.005, 182482, 0.05, 1017275.0, 0.277, 73687, 0.02, 872865.6, 0.237
'bali_phy_msa.11.fas', 200038.0, 0.055, 189180, 0.052, 18258, 0.005, 179284, 0.049, 1021666.0, 0.281, 76009, 0.021, 879238.2, 0.242
'bali_phy_msa.110.fas', 200192.0, 0.056, 190776, 0.053, 17633, 0.005, 175784, 0.049, 1021424.0, 0.284, 75597, 0.021, 885534.2, 0.246
'bali_phy_msa.111.fas', 199434.0, 0.054, 188027, 0.051, 19393, 0.005, 182798, 0.049, 1017457.0, 0.274, 74295, 0.02, 861262.4, 0.232
'bali_phy_msa.112.fas', 199988.0, 0.054, 188421, 0.051, 18314, 0.005, 180902, 0.049, 1020308.0, 0.276, 73328, 0.02, 874315.6, 0.236
'bali_phy_msa.113.fas', 200118.0, 0.055, 190022, 0.053, 17677, 0.005, 177440, 0.049, 1020841.0, 0.282, 72439, 0.02, 881022.0, 0.244
'bali_phy_msa.114.fas', 199811.0, 0.055, 188304, 0.051, 18173, 0.005, 181490, 0.05, 1019212.0, 0.278, 74585, 0.02, 875769.0, 0.239
'bali_phy_msa.115.fas', 199529.0, 0.054, 187922, 0.051, 18552, 0.005, 182818, 0.049, 1018027.0, 0.275, 76426, 0.021, 872369.4, 0.236
'bali_phy_msa.116.fas', 199116.0, 0.054, 189023, 0.052, 18377, 0.005, 181442, 0.05, 1015275.0, 0.277, 74890, 0.02, 870106.6, 0.238
'bali_phy_msa.117.fas', 199919.0, 0.054, 188380, 0.051, 18195, 0.005, 181122, 0.049, 1019239.0, 0.278, 74206, 0.02, 875270.6, 0.239
'bali_phy_msa.118.fas', 199427.0, 0.054, 187389, 0.051, 18347, 0.005, 184088, 0.05, 1017980.0, 0.275, 73283, 0.02, 870975.4, 0.235
'bali_phy_msa.119.fas', 199892.0, 0.055, 189185, 0.052, 18188, 0.005, 179566, 0.05, 1020644.0, 0.281, 72500, 0.02, 875350.8, 0.241
'bali_phy_msa.12.fas', 199466.0, 0.054, 189192, 0.052, 18186, 0.005, 180404, 0.049, 1016175.0, 0.277, 74085, 0.02, 872319.2, 0.238
'bali_phy_msa.120.fas', 199306.0, 0.054, 189323, 0.051, 17863, 0.005, 180462, 0.049, 1016016.0, 0.276, 73155, 0.02, 874448.6, 0.237
'bali_phy_msa.121.fas', 199428.0, 0.055, 190248, 0.052, 17716, 0.005, 178368, 0.049, 1017441.0, 0.28, 72482, 0.02, 877089.4, 0.241
'bali_phy_msa.122.fas', 199305.0, 0.053, 188056, 0.05, 18653, 0.005, 182998, 0.049, 1016787.0, 0.272, 77356, 0.021, 871013.4, 0.233
'bali_phy_msa.123.fas', 199876.0, 0.054, 187459, 0.05, 18343, 0.005, 183050, 0.049, 1019213.0, 0.274, 76450, 0.021, 875623.0, 0.236
'bali_phy_msa.124.fas', 199681.0, 0.054, 187649, 0.051, 18471, 0.005, 183060, 0.049, 1018525.0, 0.275, 75553, 0.02, 872756.0, 0.235
'bali_phy_msa.125.fas', 199575.0, 0.054, 188256, 0.051, 18250, 0.005, 182058, 0.049, 1017910.0, 0.275, 75427, 0.02, 874425.4, 0.236
'bali_phy_msa.126.fas', 200212.0, 0.056, 189819, 0.053, 18574, 0.005, 177658, 0.049, 1021935.0, 0.284, 75913, 0.021, 876576.4, 0.243
'bali_phy_msa.127.fas', 200319.0, 0.056, 190925, 0.053, 17653, 0.005, 175232, 0.049, 1021451.0, 0.286, 71915, 0.02, 881789.6, 0.247
'bali_phy_msa.128.fas', 198956.0, 0.054, 189135, 0.051, 17929, 0.005, 181538, 0.049, 1013497.0, 0.275, 74902, 0.02, 872801.4, 0.237
'bali_phy_msa.129.fas', 199919.0, 0.055, 190939, 0.053, 17769, 0.005, 176004, 0.049, 1020633.0, 0.283, 72584, 0.02, 880326.2, 0.244
'bali_phy_msa.13.fas', 199975.0, 0.054, 187875, 0.051, 18277, 0.005, 182020, 0.049, 1018629.0, 0.276, 75373, 0.02, 874828.0, 0.237
'bali_phy_msa.130.fas', 199525.0, 0.054, 188370, 0.051, 18308, 0.005, 181930, 0.049, 1018512.0, 0.277, 74160, 0.02, 873206.0, 0.237
'bali_phy_msa.131.fas', 199495.0, 0.054, 187772, 0.051, 18890, 0.005, 183186, 0.049, 1016656.0, 0.274, 75264, 0.02, 866382.8, 0.233
'bali_phy_msa.132.fas', 199897.0, 0.055, 190454, 0.053, 18102, 0.005, 177018, 0.049, 1020642.0, 0.282, 73128, 0.02, 877346.4, 0.243
'bali_phy_msa.133.fas', 199793.0, 0.054, 187564, 0.051, 18671, 0.005, 183006, 0.05, 1018804.0, 0.276, 72490, 0.02, 867982.8, 0.235
'bali_phy_msa.134.fas', 199443.0, 0.055, 190138, 0.052, 18114, 0.005, 178558, 0.049, 1017391.0, 0.281, 74743, 0.021, 875282.4, 0.241
'bali_phy_msa.135.fas', 199446.0, 0.054, 188584, 0.051, 18267, 0.005, 181660, 0.049, 1016744.0, 0.277, 74111, 0.02, 871853.0, 0.238
'bali_phy_msa.136.fas', 199426.0, 0.055, 190682, 0.053, 17454, 0.005, 177504, 0.049, 1017225.0, 0.28, 74420, 0.021, 881604.2, 0.243
'bali_phy_msa.137.fas', 199848.0, 0.055, 188616, 0.051, 18556, 0.005, 180792, 0.049, 1019082.0, 0.278, 76270, 0.021, 873633.6, 0.238
'bali_phy_msa.138.fas', 199476.0, 0.054, 189165, 0.052, 18250, 0.005, 180438, 0.049, 1016945.0, 0.278, 76522, 0.021, 874879.4, 0.239
'bali_phy_msa.139.fas', 200113.0, 0.055, 189488, 0.052, 18179, 0.005, 178518, 0.049, 1021252.0, 0.281, 75358, 0.021, 879116.4, 0.242
'bali_phy_msa.14.fas', 199622.0, 0.055, 189319, 0.052, 17918, 0.005, 179838, 0.049, 1017479.0, 0.278, 75080, 0.021, 877411.4, 0.24
'bali_phy_msa.140.fas', 199711.0, 0.055, 189314, 0.052, 17768, 0.005, 179670, 0.049, 1019147.0, 0.279, 71514, 0.02, 877047.0, 0.24
'bali_phy_msa.141.fas', 199774.0, 0.055, 189297, 0.052, 17936, 0.005, 179578, 0.049, 1018782.0, 0.28, 73710, 0.02, 877216.4, 0.242
'bali_phy_msa.142.fas', 199549.0, 0.055, 189757, 0.052, 17979, 0.005, 179108, 0.049, 1018954.0, 0.28, 76099, 0.021, 879441.4, 0.242
'bali_phy_msa.143.fas', 199287.0, 0.054, 188996, 0.052, 18305, 0.005, 181154, 0.049, 1017675.0, 0.278, 75263, 0.021, 873657.2, 0.239
'bali_phy_msa.144.fas', 199335.0, 0.055, 188829, 0.052, 18030, 0.005, 181392, 0.05, 1016745.0, 0.278, 72864, 0.02, 873030.6, 0.239
'bali_phy_msa.145.fas', 199735.0, 0.054, 187388, 0.051, 18619, 0.005, 183474, 0.05, 1019693.0, 0.277, 72548, 0.02, 869356.2, 0.236
'bali_phy_msa.146.fas', 199090.0, 0.054, 188843, 0.052, 18100, 0.005, 181854, 0.05, 1015842.0, 0.277, 75516, 0.021, 873987.2, 0.239
'bali_phy_msa.147.fas', 199357.0, 0.055, 189036, 0.052, 18094, 0.005, 180934, 0.05, 1015751.0, 0.278, 76345, 0.021, 874969.2, 0.24
'bali_phy_msa.148.fas', 198895.0, 0.054, 187656, 0.051, 18617, 0.005, 184618, 0.05, 1012909.0, 0.273, 74725, 0.02, 864540.4, 0.233
'bali_phy_msa.149.fas', 199434.0, 0.054, 188727, 0.051, 17900, 0.005, 181398, 0.049, 1017681.0, 0.276, 73965, 0.02, 876366.4, 0.238
'bali_phy_msa.15.fas', 199645.0, 0.054, 187758, 0.051, 18248, 0.005, 182914, 0.049, 1018314.0, 0.274, 76019, 0.02, 875270.2, 0.235
'bali_phy_msa.150.fas', 200437.0, 0.056, 190056, 0.053, 17643, 0.005, 176734, 0.049, 1020666.0, 0.283, 72962, 0.02, 881851.2, 0.244
'bali_phy_msa.151.fas', 199998.0, 0.055, 189857, 0.053, 17673, 0.005, 178010, 0.049, 1018834.0, 0.282, 75448, 0.021, 881950.0, 0.244
'bali_phy_msa.152.fas', 199876.0, 0.055, 188204, 0.052, 18615, 0.005, 181560, 0.05, 1018564.0, 0.28, 75616, 0.021, 871718.0, 0.239
'bali_phy_msa.153.fas', 199488.0, 0.055, 188915, 0.052, 17782, 0.005, 180914, 0.05, 1018124.0, 0.279, 75536, 0.021, 879657.2, 0.241
'bali_phy_msa.154.fas', 199510.0, 0.054, 188107, 0.051, 18569, 0.005, 182486, 0.049, 1017261.0, 0.275, 74519, 0.02, 869592.8, 0.235
'bali_phy_msa.155.fas', 199128.0, 0.054, 188338, 0.051, 18352, 0.005, 182788, 0.049, 1015053.0, 0.274, 74018, 0.02, 868993.4, 0.235
'bali_phy_msa.156.fas', 199434.0, 0.054, 189381, 0.052, 17790, 0.005, 180090, 0.049, 1015771.0, 0.277, 74146, 0.02, 875999.0, 0.239
'bali_phy_msa.157.fas', 199257.0, 0.054, 187416, 0.051, 19422, 0.005, 184374, 0.05, 1015651.0, 0.274, 75624, 0.02, 860180.2, 0.232
'bali_phy_msa.158.fas', 199660.0, 0.054, 188740, 0.051, 18089, 0.005, 180920, 0.049, 1018508.0, 0.278, 74996, 0.02, 876430.0, 0.239
'bali_phy_msa.159.fas', 199829.0, 0.055, 189490, 0.052, 17475, 0.005, 179082, 0.049, 1019401.0, 0.28, 74381, 0.02, 883215.6, 0.243
'bali_phy_msa.16.fas', 199384.0, 0.054, 188067, 0.051, 18410, 0.005, 182818, 0.049, 1016812.0, 0.274, 75062, 0.02, 871210.4, 0.235
'bali_phy_msa.160.fas', 199581.0, 0.055, 188464, 0.052, 19203, 0.005, 181630, 0.05, 1017130.0, 0.278, 74608, 0.02, 863382.0, 0.236
'bali_phy_msa.161.fas', 199103.0, 0.053, 187362, 0.05, 18508, 0.005, 184790, 0.049, 1014824.0, 0.271, 77146, 0.021, 869932.0, 0.232
'bali_phy_msa.162.fas', 200019.0, 0.055, 189603, 0.052, 18338, 0.005, 178476, 0.049, 1018503.0, 0.282, 73048, 0.02, 872475.8, 0.241
'bali_phy_msa.163.fas', 199179.0, 0.054, 187668, 0.051, 17851, 0.005, 184026, 0.05, 1015732.0, 0.274, 74746, 0.02, 875162.8, 0.236
'bali_phy_msa.164.fas', 199448.0, 0.055, 189184, 0.052, 17735, 0.005, 180456, 0.049, 1017651.0, 0.279, 73994, 0.02, 878203.8, 0.241
'bali_phy_msa.165.fas', 199601.0, 0.054, 187926, 0.051, 18309, 0.005, 182666, 0.049, 1016957.0, 0.274, 76427, 0.021, 873760.8, 0.236
'bali_phy_msa.166.fas', 199662.0, 0.054, 188735, 0.051, 17878, 0.005, 180926, 0.049, 1017820.0, 0.277, 73667, 0.02, 876521.8, 0.239
'bali_phy_msa.167.fas', 199768.0, 0.055, 189565, 0.052, 18061, 0.005, 179054, 0.049, 1019088.0, 0.281, 75814, 0.021, 878481.2, 0.242
'bali_phy_msa.168.fas', 199427.0, 0.054, 187589, 0.051, 18483, 0.005, 183688, 0.05, 1016650.0, 0.275, 74183, 0.02, 869265.4, 0.235
'bali_phy_msa.169.fas', 199049.0, 0.053, 187490, 0.05, 17987, 0.005, 184642, 0.05, 1014894.0, 0.272, 73828, 0.02, 871923.6, 0.234
'bali_phy_msa.17.fas', 199591.0, 0.054, 188734, 0.051, 18767, 0.005, 181070, 0.049, 1017926.0, 0.277, 75486, 0.021, 869528.0, 0.237
'bali_phy_msa.170.fas', 199643.0, 0.055, 189090, 0.052, 18935, 0.005, 180254, 0.049, 1018853.0, 0.279, 76087, 0.021, 869539.2, 0.238
'bali_phy_msa.171.fas', 200212.0, 0.056, 190173, 0.053, 17940, 0.005, 176950, 0.049, 1018997.0, 0.283, 71706, 0.02, 875913.0, 0.243
'bali_phy_msa.172.fas', 198622.0, 0.054, 188596, 0.051, 18207, 0.005, 183284, 0.05, 1013308.0, 0.275, 72571, 0.02, 867152.2, 0.235
'bali_phy_msa.173.fas', 200079.0, 0.055, 189549, 0.052, 18154, 0.005, 178464, 0.049, 1021247.0, 0.282, 72454, 0.02, 876468.2, 0.242
'bali_phy_msa.174.fas', 199451.0, 0.054, 188552, 0.051, 17690, 0.005, 181714, 0.049, 1017472.0, 0.276, 75677, 0.021, 879906.2, 0.238
'bali_phy_msa.175.fas', 199058.0, 0.054, 188814, 0.051, 17868, 0.005, 181976, 0.049, 1015729.0, 0.275, 74375, 0.02, 875028.8, 0.237
'bali_phy_msa.176.fas', 199405.0, 0.054, 188681, 0.051, 17754, 0.005, 181548, 0.049, 1017840.0, 0.277, 72953, 0.02, 876943.4, 0.238
'bali_phy_msa.177.fas', 199100.0, 0.054, 188229, 0.051, 18037, 0.005, 183062, 0.05, 1016310.0, 0.275, 73191, 0.02, 872518.6, 0.236
'bali_phy_msa.178.fas', 199740.0, 0.055, 189512, 0.052, 18561, 0.005, 179216, 0.049, 1018461.0, 0.281, 75100, 0.021, 872107.8, 0.24
'bali_phy_msa.179.fas', 198580.0, 0.053, 187408, 0.05, 18423, 0.005, 185744, 0.05, 1013138.0, 0.27, 74155, 0.02, 865914.2, 0.231
'bali_phy_msa.18.fas', 199451.0, 0.054, 188537, 0.051, 17994, 0.005, 181744, 0.049, 1017963.0, 0.275, 74697, 0.02, 876371.2, 0.237
'bali_phy_msa.180.fas', 199117.0, 0.054, 188060, 0.051, 18142, 0.005, 183366, 0.05, 1015173.0, 0.275, 74255, 0.02, 871334.8, 0.236
'bali_phy_msa.181.fas', 199084.0, 0.054, 189754, 0.052, 18210, 0.005, 180044, 0.049, 1015744.0, 0.278, 71870, 0.02, 869505.2, 0.238
'bali_phy_msa.182.fas', 198902.0, 0.054, 189022, 0.051, 17744, 0.005, 181872, 0.049, 1014035.0, 0.275, 74480, 0.02, 874700.6, 0.237
'bali_phy_msa.183.fas', 200041.0, 0.055, 188523, 0.052, 18436, 0.005, 180592, 0.049, 1020011.0, 0.279, 75227, 0.021, 874759.6, 0.239
'bali_phy_msa.184.fas', 200008.0, 0.055, 188566, 0.052, 18544, 0.005, 180572, 0.05, 1020702.0, 0.28, 73326, 0.02, 872473.6, 0.239
'bali_phy_msa.185.fas', 199125.0, 0.054, 188099, 0.051, 18181, 0.005, 183272, 0.049, 1015358.0, 0.273, 75762, 0.02, 872655.6, 0.235
'bali_phy_msa.186.fas', 199742.0, 0.055, 189620, 0.052, 17960, 0.005, 178996, 0.049, 1019124.0, 0.281, 73272, 0.02, 876996.8, 0.242
'bali_phy_msa.187.fas', 199241.0, 0.053, 187741, 0.05, 17968, 0.005, 183756, 0.049, 1015968.0, 0.273, 73821, 0.02, 873357.8, 0.234
'bali_phy_msa.188.fas', 199062.0, 0.054, 188440, 0.051, 18285, 0.005, 182716, 0.049, 1015830.0, 0.274, 74146, 0.02, 870582.8, 0.235
'bali_phy_msa.189.fas', 199235.0, 0.054, 188851, 0.051, 18479, 0.005, 181548, 0.049, 1013737.0, 0.275, 75148, 0.02, 867785.4, 0.236
'bali_phy_msa.19.fas', 199748.0, 0.054, 188412, 0.051, 18367, 0.005, 181400, 0.049, 1019136.0, 0.278, 76750, 0.021, 875936.0, 0.239
'bali_phy_msa.190.fas', 199706.0, 0.055, 189782, 0.052, 18024, 0.005, 178744, 0.049, 1018608.0, 0.28, 73718, 0.02, 876337.2, 0.241
'bali_phy_msa.191.fas', 199757.0, 0.055, 188348, 0.052, 19471, 0.005, 181510, 0.05, 1018981.0, 0.281, 76892, 0.021, 864861.0, 0.239
'bali_phy_msa.192.fas', 199155.0, 0.054, 187549, 0.051, 18554, 0.005, 184312, 0.05, 1017033.0, 0.276, 75883, 0.021, 870513.6, 0.236
'bali_phy_msa.193.fas', 200193.0, 0.055, 189879, 0.053, 18646, 0.005, 177576, 0.049, 1021046.0, 0.282, 75553, 0.021, 874623.8, 0.242
'bali_phy_msa.194.fas', 199648.0, 0.054, 185900, 0.05, 20317, 0.005, 186624, 0.05, 1019126.0, 0.274, 75639, 0.02, 854270.2, 0.23
'bali_phy_msa.195.fas', 199140.0, 0.054, 189619, 0.052, 17825, 0.005, 180202, 0.049, 1014806.0, 0.277, 72839, 0.02, 873354.6, 0.238
'bali_phy_msa.196.fas', 200068.0, 0.056, 190313, 0.053, 18126, 0.005, 176958, 0.049, 1020935.0, 0.285, 73739, 0.021, 878022.4, 0.245
'bali_phy_msa.197.fas', 199417.0, 0.054, 188899, 0.051, 17744, 0.005, 181088, 0.049, 1016501.0, 0.277, 73289, 0.02, 876132.4, 0.238
'bali_phy_msa.198.fas', 199373.0, 0.054, 188531, 0.051, 17994, 0.005, 181912, 0.049, 1016939.0, 0.276, 74941, 0.02, 875557.6, 0.237
'bali_phy_msa.199.fas', 199471.0, 0.055, 189017, 0.052, 18400, 0.005, 180744, 0.049, 1016636.0, 0.278, 75194, 0.021, 871681.2, 0.239
'bali_phy_msa.2.fas', 198592.0, 0.052, 188598, 0.049, 17505, 0.005, 183340, 0.048, 1012452.0, 0.264, 73835, 0.019, 874569.0, 0.228
'bali_phy_msa.20.fas', 200159.0, 0.055, 189375, 0.052, 18212, 0.005, 178652, 0.049, 1022569.0, 0.283, 73480, 0.02, 878198.6, 0.243
'bali_phy_msa.200.fas', 199526.0, 0.055, 189232, 0.052, 17910, 0.005, 180204, 0.049, 1016556.0, 0.278, 73303, 0.02, 874718.2, 0.239
'bali_phy_msa.201.fas', 199842.0, 0.055, 188830, 0.052, 18641, 0.005, 180376, 0.049, 1018896.0, 0.279, 75708, 0.021, 872118.8, 0.239
'bali_phy_msa.202.fas', 199410.0, 0.054, 188625, 0.051, 18126, 0.005, 181650, 0.049, 1017772.0, 0.276, 75227, 0.02, 875409.0, 0.238
'bali_phy_msa.203.fas', 199286.0, 0.054, 188854, 0.051, 18186, 0.005, 181440, 0.049, 1015802.0, 0.276, 75590, 0.021, 873244.0, 0.237
'bali_phy_msa.204.fas', 199744.0, 0.054, 187669, 0.051, 18750, 0.005, 182894, 0.05, 1018783.0, 0.277, 74951, 0.02, 869655.2, 0.236
'bali_phy_msa.205.fas', 199049.0, 0.054, 188295, 0.051, 18660, 0.005, 183032, 0.049, 1016540.0, 0.274, 75010, 0.02, 868343.6, 0.234
'bali_phy_msa.206.fas', 199752.0, 0.055, 189200, 0.052, 17912, 0.005, 179816, 0.049, 1017950.0, 0.28, 75293, 0.021, 878159.8, 0.241
'bali_phy_msa.207.fas', 199752.0, 0.055, 188811, 0.052, 18040, 0.005, 180594, 0.049, 1018082.0, 0.279, 74625, 0.02, 876188.2, 0.24
'bali_phy_msa.208.fas', 199953.0, 0.055, 189559, 0.052, 17445, 0.005, 178696, 0.049, 1018151.0, 0.279, 73365, 0.02, 881326.8, 0.242
'bali_phy_msa.209.fas', 199580.0, 0.054, 188834, 0.052, 18192, 0.005, 180892, 0.049, 1018930.0, 0.278, 73796, 0.02, 874627.6, 0.239
'bali_phy_msa.21.fas', 199263.0, 0.054, 188509, 0.051, 18478, 0.005, 182176, 0.049, 1016337.0, 0.276, 73763, 0.02, 868884.8, 0.236
'bali_phy_msa.210.fas', 199649.0, 0.055, 188816, 0.052, 17590, 0.005, 180790, 0.05, 1017233.0, 0.279, 74561, 0.02, 879736.0, 0.241
'bali_phy_msa.211.fas', 200042.0, 0.055, 190428, 0.053, 17383, 0.005, 176780, 0.049, 1019616.0, 0.283, 71955, 0.02, 882385.0, 0.245
'bali_phy_msa.212.fas', 199501.0, 0.055, 189185, 0.052, 18267, 0.005, 180348, 0.049, 1017710.0, 0.278, 75856, 0.021, 874826.4, 0.239
'bali_phy_msa.213.fas', 199262.0, 0.055, 188724, 0.052, 18642, 0.005, 181748, 0.05, 1016470.0, 0.279, 75275, 0.021, 868975.4, 0.238
'bali_phy_msa.214.fas', 199606.0, 0.055, 189578, 0.052, 18014, 0.005, 179352, 0.049, 1018454.0, 0.28, 75299, 0.021, 877742.6, 0.241
