code,bl_sum,bl_mean,bl_25_pct,bl_75_pct,bl_max,bl_min,parsimony_mean,parsimony_sum,parsimony_max,parsimony_min,parsimony_25_pct,parsimony_75_pct
'bali_phy_msa.1.fas', 37.254, 0.272, 0.056, 0.428, 1.494, 0.004, 30.471, 8532.0, 54, 1, 15.0, 44.0
'bali_phy_msa.10.fas', 2.994, 0.022, 0.003, 0.029, 0.112, 0.001, 3.412, 5118.0, 48, 0, 1.0, 1.0
'bali_phy_msa.100.fas', 2.954, 0.022, 0.003, 0.029, 0.11, 0.001, 3.37, 5150.0, 49, 1, 1.0, 1.0
'bali_phy_msa.101.fas', 2.966, 0.022, 0.003, 0.029, 0.111, 0.001, 3.378, 5125.0, 49, 1, 1.0, 1.0
'bali_phy_msa.102.fas', 2.959, 0.022, 0.003, 0.029, 0.11, 0.001, 3.358, 5114.0, 48, 1, 1.0, 1.0
'bali_phy_msa.103.fas', 2.952, 0.022, 0.003, 0.028, 0.109, 0.001, 3.366, 5153.0, 49, 0, 1.0, 1.0
'bali_phy_msa.104.fas', 2.968, 0.022, 0.003, 0.029, 0.11, 0.001, 3.386, 5119.0, 49, 1, 1.0, 1.0
'bali_phy_msa.105.fas', 2.993, 0.022, 0.002, 0.029, 0.114, 0.001, 3.411, 5126.0, 48, 1, 1.0, 1.0
'bali_phy_msa.106.fas', 2.952, 0.022, 0.003, 0.029, 0.11, 0.001, 3.371, 5158.0, 48, 0, 1.0, 1.0
'bali_phy_msa.107.fas', 2.957, 0.022, 0.003, 0.029, 0.112, 0.001, 3.369, 5118.0, 48, 0, 1.0, 1.0
'bali_phy_msa.108.fas', 2.955, 0.022, 0.003, 0.029, 0.11, 0.001, 3.375, 5147.0, 48, 1, 1.0, 1.0
'bali_phy_msa.109.fas', 2.966, 0.022, 0.003, 0.029, 0.108, 0.001, 3.382, 5151.0, 48, 1, 1.0, 1.0
'bali_phy_msa.11.fas', 2.986, 0.022, 0.003, 0.029, 0.112, 0.001, 3.408, 5122.0, 48, 1, 1.0, 1.0
'bali_phy_msa.110.fas', 3.005, 0.022, 0.003, 0.03, 0.113, 0.001, 3.434, 5113.0, 48, 1, 1.0, 1.0
'bali_phy_msa.111.fas', 2.937, 0.021, 0.003, 0.029, 0.109, 0.001, 3.334, 5117.0, 49, 1, 1.0, 1.0
'bali_phy_msa.112.fas', 2.937, 0.021, 0.003, 0.029, 0.109, 0.001, 3.343, 5118.0, 48, 0, 1.0, 1.0
'bali_phy_msa.113.fas', 2.988, 0.022, 0.003, 0.03, 0.112, 0.001, 3.415, 5115.0, 49, 1, 1.0, 1.0
'bali_phy_msa.114.fas', 2.966, 0.022, 0.003, 0.029, 0.11, 0.001, 3.388, 5143.0, 48, 1, 1.0, 1.0
'bali_phy_msa.115.fas', 2.954, 0.022, 0.003, 0.029, 0.107, 0.001, 3.367, 5159.0, 49, 1, 1.0, 1.0
'bali_phy_msa.116.fas', 2.981, 0.022, 0.003, 0.03, 0.111, 0.001, 3.4, 5154.0, 47, 1, 1.0, 1.0
'bali_phy_msa.117.fas', 2.968, 0.022, 0.003, 0.029, 0.113, 0.001, 3.386, 5143.0, 48, 1, 1.0, 1.0
'bali_phy_msa.118.fas', 2.943, 0.021, 0.003, 0.029, 0.109, 0.001, 3.354, 5142.0, 49, 1, 1.0, 1.0
'bali_phy_msa.119.fas', 2.994, 0.022, 0.003, 0.029, 0.112, 0.001, 3.424, 5143.0, 48, 1, 1.0, 1.0
'bali_phy_msa.12.fas', 2.963, 0.022, 0.003, 0.029, 0.11, 0.001, 3.384, 5143.0, 49, 0, 1.0, 1.0
'bali_phy_msa.120.fas', 2.964, 0.022, 0.003, 0.029, 0.11, 0.001, 3.377, 5150.0, 48, 1, 1.0, 1.0
'bali_phy_msa.121.fas', 2.987, 0.022, 0.003, 0.029, 0.111, 0.001, 3.417, 5150.0, 48, 1, 1.0, 1.0
'bali_phy_msa.122.fas', 2.919, 0.021, 0.003, 0.028, 0.108, 0.001, 3.333, 5156.0, 49, 0, 1.0, 1.0
'bali_phy_msa.123.fas', 2.931, 0.021, 0.003, 0.028, 0.108, 0.001, 3.337, 5136.0, 47, 1, 1.0, 1.0
'bali_phy_msa.124.fas', 2.937, 0.021, 0.003, 0.029, 0.109, 0.001, 3.357, 5156.0, 48, 0, 1.0, 1.0
'bali_phy_msa.125.fas', 2.947, 0.022, 0.003, 0.028, 0.109, 0.001, 3.357, 5147.0, 48, 0, 1.0, 1.0
'bali_phy_msa.126.fas', 3.007, 0.022, 0.003, 0.029, 0.113, 0.001, 3.424, 5109.0, 48, 1, 1.0, 1.0
'bali_phy_msa.127.fas', 3.016, 0.022, 0.003, 0.03, 0.114, 0.001, 3.449, 5098.0, 49, 1, 1.0, 1.0
'bali_phy_msa.128.fas', 2.974, 0.022, 0.003, 0.029, 0.109, 0.001, 3.391, 5171.0, 48, 1, 1.0, 1.0
'bali_phy_msa.129.fas', 2.999, 0.022, 0.003, 0.029, 0.112, 0.001, 3.43, 5121.0, 48, 1, 1.0, 1.0
'bali_phy_msa.13.fas', 2.943, 0.021, 0.003, 0.028, 0.109, 0.001, 3.336, 5101.0, 46, 1, 1.0, 1.0
'bali_phy_msa.130.fas', 2.958, 0.022, 0.003, 0.029, 0.11, 0.001, 3.372, 5143.0, 48, 1, 1.0, 1.0
'bali_phy_msa.131.fas', 2.944, 0.021, 0.003, 0.028, 0.109, 0.001, 3.352, 5152.0, 49, 1, 1.0, 1.0
'bali_phy_msa.132.fas', 2.989, 0.022, 0.003, 0.029, 0.113, 0.001, 3.412, 5108.0, 48, 1, 1.0, 1.0
'bali_phy_msa.133.fas', 2.957, 0.022, 0.002, 0.029, 0.11, 0.001, 3.376, 5155.0, 48, 1, 1.0, 1.0
'bali_phy_msa.134.fas', 2.994, 0.022, 0.003, 0.029, 0.112, 0.001, 3.41, 5119.0, 49, 1, 1.0, 1.0
'bali_phy_msa.135.fas', 2.966, 0.022, 0.003, 0.029, 0.11, 0.001, 3.389, 5151.0, 48, 1, 1.0, 1.0
'bali_phy_msa.136.fas', 2.992, 0.022, 0.002, 0.029, 0.112, 0.001, 3.418, 5137.0, 47, 1, 1.0, 1.0
'bali_phy_msa.137.fas', 2.966, 0.022, 0.003, 0.029, 0.111, 0.001, 3.388, 5140.0, 48, 1, 1.0, 1.0
'bali_phy_msa.138.fas', 2.97, 0.022, 0.003, 0.029, 0.113, 0.001, 3.391, 5141.0, 48, 1, 1.0, 1.0
'bali_phy_msa.139.fas', 2.974, 0.022, 0.003, 0.029, 0.112, 0.001, 3.404, 5126.0, 48, 0, 1.0, 1.0
'bali_phy_msa.14.fas', 2.975, 0.022, 0.003, 0.029, 0.111, 0.001, 3.387, 5128.0, 48, 1, 1.0, 1.0
'bali_phy_msa.140.fas', 2.971, 0.022, 0.003, 0.03, 0.111, 0.001, 3.384, 5116.0, 48, 1, 1.0, 1.0
'bali_phy_msa.141.fas', 2.987, 0.022, 0.003, 0.029, 0.112, 0.001, 3.399, 5112.0, 48, 1, 1.0, 1.0
'bali_phy_msa.142.fas', 2.999, 0.022, 0.003, 0.029, 0.111, 0.001, 3.424, 5156.0, 47, 1, 1.0, 1.0
'bali_phy_msa.143.fas', 2.977, 0.022, 0.002, 0.028, 0.111, 0.001, 3.402, 5157.0, 46, 1, 1.0, 1.0
'bali_phy_msa.144.fas', 2.978, 0.022, 0.003, 0.029, 0.111, 0.001, 3.4, 5148.0, 47, 1, 1.0, 1.0
'bali_phy_msa.145.fas', 2.96, 0.022, 0.003, 0.03, 0.113, 0.001, 3.38, 5151.0, 48, 1, 1.0, 1.0
