code_BLOSUM62_GO_-10_GE_-0.2,sp_HENIKOFF_with_gaps_BLOSUM62_GO_-10_GE_-0.2,sp_HENIKOFF_without_gaps_BLOSUM62_GO_-10_GE_-0.2,sp_CLUSTAL_WEIGHTS_mid_root_BLOSUM62_GO_-10_GE_-0.2,sp_CLUSTAL_WEIGHTS_diff_sum_BLOSUM62_GO_-10_GE_-0.2
'bali_phy_msa.1.fas', -55.27, -55.533, -86907.252, -89815.908
'bali_phy_msa.10.fas', 134.992, 128.708, 1389.197, 1187.567
'bali_phy_msa.100.fas', 133.231, 126.373, 1359.38, 1141.997
'bali_phy_msa.101.fas', 131.885, 124.735, 1390.213, 1137.838
'bali_phy_msa.102.fas', 133.732, 127.015, 1449.965, 1134.533
'bali_phy_msa.103.fas', 132.327, 125.548, 1356.844, 1122.886
'bali_phy_msa.104.fas', 134.437, 128.025, 1370.786, 1166.861
'bali_phy_msa.105.fas', 134.356, 127.838, 1440.283, 1184.227
'bali_phy_msa.106.fas', 130.193, 123.136, 1307.622, 1101.293
'bali_phy_msa.107.fas', 134.37, 127.573, 1308.908, 1152.469
'bali_phy_msa.108.fas', 134.222, 127.426, 1246.437, 1146.698
'bali_phy_msa.109.fas', 134.156, 127.758, 1262.785, 1148.673
'bali_phy_msa.11.fas', 135.119, 128.89, 1438.008, 1182.674
'bali_phy_msa.110.fas', 136.385, 130.167, 1548.866, 1215.661
'bali_phy_msa.111.fas', 130.545, 123.311, 1196.286, 1092.974
'bali_phy_msa.112.fas', 134.033, 127.388, 1313.913, 1129.999
'bali_phy_msa.113.fas', 135.614, 129.247, 1470.125, 1195.108
'bali_phy_msa.114.fas', 133.957, 127.199, 1341.464, 1157.985
'bali_phy_msa.115.fas', 132.771, 125.591, 1290.233, 1126.889
'bali_phy_msa.116.fas', 133.101, 126.255, 1334.021, 1159.326
'bali_phy_msa.117.fas', 134.0, 127.295, 1273.753, 1150.158
'bali_phy_msa.118.fas', 132.558, 125.574, 1314.234, 1125.274
'bali_phy_msa.119.fas', 134.16, 127.621, 1363.02, 1176.109
'bali_phy_msa.12.fas', 133.379, 126.734, 1340.891, 1142.731
'bali_phy_msa.120.fas', 135.014, 128.519, 1336.019, 1160.109
'bali_phy_msa.121.fas', 134.204, 127.419, 1416.084, 1180.217
'bali_phy_msa.122.fas', 132.521, 125.584, 1289.857, 1100.887
'bali_phy_msa.123.fas', 134.204, 127.483, 1183.774, 1128.905
'bali_phy_msa.124.fas', 134.471, 128.142, 1438.868, 1121.251
'bali_phy_msa.125.fas', 134.546, 127.947, 1425.907, 1144.046
'bali_phy_msa.126.fas', 134.393, 128.073, 1352.415, 1195.438
'bali_phy_msa.127.fas', 136.113, 130.217, 1488.786, 1227.63
'bali_phy_msa.128.fas', 133.533, 126.592, 1385.839, 1150.893
'bali_phy_msa.129.fas', 135.124, 128.614, 1469.271, 1201.965
'bali_phy_msa.13.fas', 134.433, 127.91, 1332.013, 1132.257
'bali_phy_msa.130.fas', 134.25, 127.56, 1395.525, 1141.753
'bali_phy_msa.131.fas', 132.134, 125.181, 1221.055, 1117.827
'bali_phy_msa.132.fas', 134.511, 128.305, 1387.702, 1177.817
'bali_phy_msa.133.fas', 133.289, 126.659, 1346.01, 1139.985
'bali_phy_msa.134.fas', 133.679, 127.113, 1479.116, 1174.179
'bali_phy_msa.135.fas', 133.152, 126.34, 1371.587, 1148.871
'bali_phy_msa.136.fas', 135.266, 128.588, 1399.873, 1190.413
'bali_phy_msa.137.fas', 132.628, 125.698, 1265.593, 1141.161
'bali_phy_msa.138.fas', 133.814, 127.151, 1354.056, 1150.736
'bali_phy_msa.139.fas', 135.799, 129.607, 1370.034, 1178.105
'bali_phy_msa.14.fas', 134.528, 127.879, 1469.547, 1165.115
'bali_phy_msa.140.fas', 134.058, 127.509, 1392.011, 1156.792
'bali_phy_msa.141.fas', 135.087, 128.896, 1465.459, 1183.213
'bali_phy_msa.142.fas', 134.767, 128.306, 1357.789, 1179.816
'bali_phy_msa.143.fas', 133.931, 127.281, 1497.599, 1162.997
'bali_phy_msa.144.fas', 133.318, 126.652, 1280.552, 1155.437
'bali_phy_msa.145.fas', 132.674, 125.878, 1323.502, 1133.309
'bali_phy_msa.146.fas', 134.295, 127.872, 1370.023, 1154.512
'bali_phy_msa.147.fas', 134.053, 127.595, 1439.604, 1165.652
'bali_phy_msa.148.fas', 131.87, 124.821, 1298.225, 1119.777
'bali_phy_msa.149.fas', 134.098, 127.158, 1406.736, 1147.785
'bali_phy_msa.15.fas', 133.878, 126.979, 1263.617, 1116.377
'bali_phy_msa.150.fas', 136.347, 130.34, 1425.061, 1202.195
'bali_phy_msa.151.fas', 136.221, 130.216, 1556.122, 1206.621
