code_BLOSUM62_GO_-10_GE_-1,sp_HENIKOFF_with_gaps_BLOSUM62_GO_-10_GE_-1,sp_HENIKOFF_without_gaps_BLOSUM62_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_mid_root_BLOSUM62_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_diff_sum_BLOSUM62_GO_-10_GE_-1
'bali_phy_msa.1.fas', -73.92, -76.473, -62.797, -76.489
'bali_phy_msa.10.fas', -10.206, -5.843, -11.593, -13.423
'bali_phy_msa.100.fas', -9.566, -5.462, -12.074, -13.886
'bali_phy_msa.101.fas', -9.952, -5.679, -9.926, -13.698
'bali_phy_msa.102.fas', -15.595, -12.735, -14.779, -20.076
'bali_phy_msa.103.fas', -11.618, -7.97, -11.405, -15.856
'bali_phy_msa.104.fas', -8.666, -3.984, -9.007, -12.388
'bali_phy_msa.105.fas', -10.577, -6.859, -10.268, -14.312
'bali_phy_msa.106.fas', -10.148, -5.702, -7.83, -14.415
'bali_phy_msa.107.fas', -9.479, -5.564, -12.002, -13.042
'bali_phy_msa.108.fas', -11.559, -7.881, -12.032, -15.015
'bali_phy_msa.109.fas', -8.876, -4.609, -10.475, -12.425
'bali_phy_msa.11.fas', -10.718, -6.969, -12.807, -13.897
'bali_phy_msa.110.fas', -9.391, -5.442, -10.412, -12.506
'bali_phy_msa.111.fas', -12.326, -8.951, -12.592, -16.183
'bali_phy_msa.112.fas', -10.552, -6.866, -9.712, -14.528
'bali_phy_msa.113.fas', -11.679, -8.041, -11.19, -15.865
'bali_phy_msa.114.fas', -11.355, -7.342, -12.639, -14.913
'bali_phy_msa.115.fas', -8.67, -4.207, -11.933, -11.258
'bali_phy_msa.116.fas', -9.952, -5.806, -11.135, -14.288
'bali_phy_msa.117.fas', -14.116, -11.089, -13.753, -18.902
'bali_phy_msa.118.fas', -10.329, -6.323, -12.673, -13.997
'bali_phy_msa.119.fas', -10.513, -6.559, -11.169, -14.754
'bali_phy_msa.12.fas', -9.253, -5.041, -12.241, -13.39
'bali_phy_msa.120.fas', -11.754, -8.361, -12.071, -16.201
'bali_phy_msa.121.fas', -11.255, -7.87, -11.921, -16.052
'bali_phy_msa.122.fas', -8.729, -4.551, -11.898, -11.76
