code_PAM250_GO_-10_GE_-1,sp_HENIKOFF_with_gaps_PAM250_GO_-10_GE_-1,sp_HENIKOFF_without_gaps_PAM250_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_mid_root_PAM250_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_diff_sum_PAM250_GO_-10_GE_-1
'bali_phy_msa.1.fas', -61.088, -60.546, -94485.032, -97939.761
'bali_phy_msa.10.fas', 111.355, 101.43, 1112.352, 928.244
'bali_phy_msa.100.fas', 107.754, 96.84, 1066.291, 870.65
'bali_phy_msa.101.fas', 107.875, 96.905, 1108.901, 880.005
'bali_phy_msa.102.fas', 109.361, 98.898, 1157.071, 873.381
'bali_phy_msa.103.fas', 107.479, 96.871, 1068.543, 857.454
'bali_phy_msa.104.fas', 110.028, 100.018, 1088.788, 903.257
'bali_phy_msa.105.fas', 110.797, 100.611, 1156.058, 924.552
'bali_phy_msa.106.fas', 105.376, 94.443, 1022.494, 836.443
'bali_phy_msa.107.fas', 110.757, 100.255, 1042.127, 898.77
'bali_phy_msa.108.fas', 109.664, 99.006, 977.443, 884.763
'bali_phy_msa.109.fas', 109.521, 99.275, 987.376, 882.117
'bali_phy_msa.11.fas', 112.025, 102.261, 1162.372, 930.046
'bali_phy_msa.110.fas', 113.468, 103.611, 1263.519, 961.359
'bali_phy_msa.111.fas', 105.784, 94.65, 925.479, 829.967
'bali_phy_msa.112.fas', 109.749, 99.32, 1039.876, 872.671
'bali_phy_msa.113.fas', 112.174, 102.139, 1188.389, 938.845
'bali_phy_msa.114.fas', 109.345, 98.712, 1059.391, 892.3
'bali_phy_msa.115.fas', 108.157, 96.966, 1011.379, 863.463
'bali_phy_msa.116.fas', 108.488, 97.707, 1050.498, 891.772
'bali_phy_msa.117.fas', 109.413, 98.787, 997.508, 883.979
'bali_phy_msa.118.fas', 107.788, 96.934, 1033.877, 862.172
'bali_phy_msa.119.fas', 110.585, 100.248, 1088.681, 918.887
'bali_phy_msa.12.fas', 109.188, 98.814, 1061.1, 881.59
'bali_phy_msa.120.fas', 110.342, 99.897, 1054.388, 895.335
'bali_phy_msa.121.fas', 110.188, 99.553, 1131.48, 918.259
'bali_phy_msa.122.fas', 108.255, 97.411, 1018.412, 846.638
'bali_phy_msa.123.fas', 109.304, 98.63, 918.311, 864.864
'bali_phy_msa.124.fas', 109.847, 99.639, 1147.058, 863.302
'bali_phy_msa.125.fas', 109.749, 99.234, 1131.841, 878.686
'bali_phy_msa.126.fas', 111.362, 101.418, 1086.177, 941.392
'bali_phy_msa.127.fas', 113.642, 104.402, 1215.663, 976.975
'bali_phy_msa.128.fas', 108.712, 97.714, 1093.043, 883.096
'bali_phy_msa.129.fas', 112.288, 102.219, 1193.404, 950.096
'bali_phy_msa.13.fas', 109.771, 99.343, 1052.845, 872.257
'bali_phy_msa.130.fas', 109.781, 99.103, 1110.052, 882.673
'bali_phy_msa.131.fas', 107.187, 96.23, 947.345, 851.897
'bali_phy_msa.132.fas', 111.467, 101.73, 1117.548, 925.056
'bali_phy_msa.133.fas', 108.429, 97.885, 1059.931, 874.949
'bali_phy_msa.134.fas', 110.542, 100.382, 1196.381, 920.497
'bali_phy_msa.135.fas', 108.545, 97.839, 1085.333, 884.78
'bali_phy_msa.136.fas', 111.681, 101.206, 1121.548, 931.16
'bali_phy_msa.137.fas', 108.359, 97.596, 994.385, 879.756
'bali_phy_msa.138.fas', 109.574, 99.12, 1072.038, 888.143
'bali_phy_msa.139.fas', 112.659, 102.871, 1102.821, 927.61
'bali_phy_msa.14.fas', 110.512, 100.067, 1177.957, 904.289
'bali_phy_msa.140.fas', 110.332, 100.162, 1112.765, 899.68
'bali_phy_msa.141.fas', 111.045, 101.017, 1175.966, 922.072
'bali_phy_msa.142.fas', 111.758, 101.682, 1088.209, 925.653
'bali_phy_msa.143.fas', 110.23, 99.848, 1207.361, 905.813
'bali_phy_msa.144.fas', 108.832, 98.299, 1005.147, 889.861
'bali_phy_msa.145.fas', 107.917, 97.217, 1040.759, 869.089
'bali_phy_msa.146.fas', 110.22, 100.035, 1090.171, 895.993
'bali_phy_msa.147.fas', 110.19, 100.168, 1152.379, 904.202
'bali_phy_msa.148.fas', 106.699, 95.735, 1013.077, 851.928
'bali_phy_msa.149.fas', 109.71, 98.942, 1119.563, 885.514
'bali_phy_msa.15.fas', 108.969, 97.956, 988.95, 854.077
'bali_phy_msa.150.fas', 112.732, 103.163, 1145.579, 942.773
'bali_phy_msa.151.fas', 112.279, 102.593, 1256.971, 941.446
'bali_phy_msa.152.fas', 109.417, 99.476, 1152.154, 900.573
'bali_phy_msa.153.fas', 110.999, 100.956, 1119.41, 916.623
'bali_phy_msa.154.fas', 108.522, 97.88, 1080.947, 871.697
'bali_phy_msa.155.fas', 107.788, 96.668, 988.94, 861.735
