code_PAM250_GO_-6_GE_-0.2,sp_HENIKOFF_with_gaps_PAM250_GO_-6_GE_-0.2,sp_HENIKOFF_without_gaps_PAM250_GO_-6_GE_-0.2,sp_CLUSTAL_WEIGHTS_mid_root_PAM250_GO_-6_GE_-0.2,sp_CLUSTAL_WEIGHTS_diff_sum_PAM250_GO_-6_GE_-0.2
'bali_phy_msa.1.fas', -32.574, -34.715, -29.12, -32.843
'bali_phy_msa.10.fas', 52.885, 63.531, 44.819, 55.678
'bali_phy_msa.100.fas', 53.623, 64.111, 44.337, 55.629
'bali_phy_msa.101.fas', 52.701, 63.282, 45.638, 55.593
'bali_phy_msa.102.fas', 50.04, 60.002, 43.775, 52.538
'bali_phy_msa.103.fas', 52.238, 62.685, 45.47, 54.83
'bali_phy_msa.104.fas', 53.53, 64.523, 46.322, 56.353
'bali_phy_msa.105.fas', 52.583, 62.931, 46.013, 55.348
'bali_phy_msa.106.fas', 52.518, 63.386, 48.126, 54.872
'bali_phy_msa.107.fas', 53.411, 63.747, 44.802, 56.082
'bali_phy_msa.108.fas', 52.533, 62.825, 45.514, 55.481
'bali_phy_msa.109.fas', 54.11, 64.856, 45.924, 56.862
'bali_phy_msa.11.fas', 52.953, 63.267, 45.03, 55.703
'bali_phy_msa.110.fas', 53.657, 64.169, 45.934, 56.787
'bali_phy_msa.111.fas', 51.041, 61.121, 44.752, 53.402
'bali_phy_msa.112.fas', 52.43, 62.613, 46.869, 54.728
'bali_phy_msa.113.fas', 52.134, 62.568, 45.346, 54.554
'bali_phy_msa.114.fas', 52.505, 63.042, 44.153, 55.188
'bali_phy_msa.115.fas', 53.57, 64.232, 44.384, 56.641
'bali_phy_msa.116.fas', 53.639, 64.165, 46.237, 55.832
'bali_phy_msa.117.fas', 49.947, 59.63, 43.285, 51.951
'bali_phy_msa.118.fas', 52.946, 63.377, 44.044, 55.612
'bali_phy_msa.119.fas', 52.988, 63.448, 45.711, 55.626
'bali_phy_msa.12.fas', 54.065, 64.821, 44.856, 56.368
'bali_phy_msa.120.fas', 52.523, 62.776, 45.751, 55.2
'bali_phy_msa.121.fas', 52.933, 63.192, 45.35, 55.028
