code,constant_sites_pct,n_unique_sites,entropy_mean,entropy_25_pct,entropy_75_pct,entropy_sum,entropy_max
'bali_phy_msa.1.fas', 0.007, 280, 2.172, 1.878, 2.58, 608.178, 2.805
'bali_phy_msa.10.fas', 0.821, 795, 0.185, 0.0, 0.0, 276.827, 2.592
'bali_phy_msa.100.fas', 0.829, 801, 0.178, 0.0, 0.0, 271.713, 2.612
'bali_phy_msa.101.fas', 0.827, 801, 0.18, 0.0, 0.0, 273.21, 2.602
'bali_phy_msa.102.fas', 0.829, 807, 0.178, 0.0, 0.0, 271.477, 2.602
'bali_phy_msa.103.fas', 0.83, 806, 0.176, 0.0, 0.0, 269.921, 2.596
'bali_phy_msa.104.fas', 0.827, 807, 0.18, 0.0, 0.0, 271.82, 2.602
'bali_phy_msa.105.fas', 0.828, 796, 0.18, 0.0, 0.0, 269.882, 2.602
'bali_phy_msa.106.fas', 0.828, 813, 0.178, 0.0, 0.0, 272.99, 2.602
'bali_phy_msa.107.fas', 0.829, 804, 0.178, 0.0, 0.0, 270.393, 2.577
'bali_phy_msa.108.fas', 0.828, 799, 0.179, 0.0, 0.0, 273.064, 2.596
'bali_phy_msa.109.fas', 0.826, 805, 0.179, 0.0, 0.0, 273.237, 2.602
'bali_phy_msa.11.fas', 0.828, 797, 0.18, 0.0, 0.0, 271.161, 2.575
'bali_phy_msa.110.fas', 0.828, 789, 0.18, 0.0, 0.0, 268.501, 2.594
'bali_phy_msa.111.fas', 0.833, 811, 0.175, 0.0, 0.0, 268.316, 2.602
'bali_phy_msa.112.fas', 0.833, 805, 0.175, 0.0, 0.0, 268.121, 2.585
'bali_phy_msa.113.fas', 0.83, 790, 0.179, 0.0, 0.0, 268.743, 2.607
'bali_phy_msa.114.fas', 0.83, 801, 0.178, 0.0, 0.0, 270.814, 2.615
'bali_phy_msa.115.fas', 0.832, 802, 0.176, 0.0, 0.0, 269.141, 2.602
'bali_phy_msa.116.fas', 0.827, 801, 0.18, 0.0, 0.0, 273.057, 2.602
'bali_phy_msa.117.fas', 0.831, 798, 0.177, 0.0, 0.0, 269.143, 2.602
'bali_phy_msa.118.fas', 0.828, 814, 0.179, 0.0, 0.0, 273.853, 2.583
'bali_phy_msa.119.fas', 0.824, 792, 0.183, 0.0, 0.0, 274.711, 2.602
'bali_phy_msa.12.fas', 0.829, 803, 0.179, 0.0, 0.0, 271.337, 2.596
'bali_phy_msa.120.fas', 0.833, 806, 0.175, 0.0, 0.0, 267.113, 2.612
'bali_phy_msa.121.fas', 0.829, 792, 0.18, 0.0, 0.0, 270.516, 2.602
'bali_phy_msa.122.fas', 0.833, 811, 0.175, 0.0, 0.0, 270.078, 2.602
'bali_phy_msa.123.fas', 0.833, 803, 0.175, 0.0, 0.0, 269.159, 2.602
'bali_phy_msa.124.fas', 0.831, 804, 0.177, 0.0, 0.0, 271.477, 2.612
'bali_phy_msa.125.fas', 0.83, 807, 0.176, 0.0, 0.0, 270.044, 2.602
'bali_phy_msa.126.fas', 0.826, 797, 0.183, 0.0, 0.0, 272.391, 2.599
'bali_phy_msa.127.fas', 0.825, 797, 0.184, 0.0, 0.0, 271.577, 2.612
'bali_phy_msa.128.fas', 0.828, 791, 0.179, 0.0, 0.0, 273.1, 2.608
'bali_phy_msa.129.fas', 0.829, 790, 0.18, 0.0, 0.0, 269.409, 2.594
'bali_phy_msa.13.fas', 0.829, 809, 0.177, 0.0, 0.0, 270.145, 2.614
'bali_phy_msa.130.fas', 0.831, 799, 0.177, 0.0, 0.0, 269.401, 2.602
'bali_phy_msa.131.fas', 0.831, 808, 0.176, 0.0, 0.0, 270.919, 2.614
'bali_phy_msa.132.fas', 0.827, 797, 0.181, 0.0, 0.0, 271.613, 2.588
'bali_phy_msa.133.fas', 0.83, 812, 0.177, 0.0, 0.0, 270.838, 2.575
'bali_phy_msa.134.fas', 0.827, 793, 0.182, 0.0, 0.0, 272.598, 2.583
'bali_phy_msa.135.fas', 0.826, 799, 0.18, 0.0, 0.0, 273.753, 2.602
'bali_phy_msa.136.fas', 0.828, 788, 0.18, 0.0, 0.0, 269.953, 2.612
'bali_phy_msa.137.fas', 0.827, 796, 0.179, 0.0, 0.0, 271.179, 2.602
'bali_phy_msa.138.fas', 0.828, 799, 0.179, 0.0, 0.0, 271.072, 2.602
'bali_phy_msa.139.fas', 0.827, 795, 0.181, 0.0, 0.0, 272.868, 2.612
'bali_phy_msa.14.fas', 0.827, 796, 0.18, 0.0, 0.0, 271.92, 2.61
'bali_phy_msa.140.fas', 0.831, 804, 0.178, 0.0, 0.0, 269.364, 2.602
'bali_phy_msa.141.fas', 0.828, 793, 0.181, 0.0, 0.0, 272.228, 2.61
'bali_phy_msa.142.fas', 0.827, 801, 0.181, 0.0, 0.0, 272.19, 2.612
'bali_phy_msa.143.fas', 0.83, 801, 0.179, 0.0, 0.0, 270.68, 2.575
'bali_phy_msa.144.fas', 0.826, 809, 0.181, 0.0, 0.0, 274.479, 2.575
'bali_phy_msa.145.fas', 0.822, 806, 0.183, 0.0, 0.0, 279.419, 2.602
'bali_phy_msa.146.fas', 0.827, 795, 0.181, 0.0, 0.0, 273.821, 2.602
'bali_phy_msa.147.fas', 0.828, 810, 0.18, 0.0, 0.0, 271.499, 2.602
'bali_phy_msa.148.fas', 0.827, 807, 0.179, 0.0, 0.0, 274.594, 2.575
'bali_phy_msa.149.fas', 0.828, 801, 0.178, 0.0, 0.0, 272.174, 2.602
'bali_phy_msa.15.fas', 0.833, 800, 0.175, 0.0, 0.0, 268.81, 2.612
'bali_phy_msa.150.fas', 0.827, 789, 0.181, 0.0, 0.0, 271.166, 2.602
'bali_phy_msa.151.fas', 0.825, 794, 0.183, 0.0, 0.0, 273.142, 2.594
