code,num_gap_segments_norm,av_gap_segment_length,gaps_len_one,gaps_len_two,gaps_len_three,gaps_len_four_plus,num_unique_gaps,num_unique_gaps_norm,avg_unique_gap_length,gaps_1seq_len1,gaps_2seq_len1,gaps_1seq_len2,gaps_2seq_len2,gaps_1seq_len3,gaps_2seq_len3,gaps_1seq_len4plus,gaps_2seq_len4plus,gaps_all_except_1_len1,gaps_all_except_1_len2,gaps_all_except_1_len3,gaps_all_except_1_len4plus,num_cols_no_gaps,num_cols_1_gap,num_cols_2_gaps,num_cols_all_gaps_except1,single_char_count,double_char_count,seq_max_len,seq_min_len
'bali_phy_msa.1.fas', 0.986, 82.899, 0.0, 0.014, 0.014, 0.957, 28, 0.4, 74.393, 0, 0, 1, 0, 1, 0, 26, 12, 0, 0, 0, 0, 107, 42, 9, 2, 0, 0, 280, 107
'bali_phy_msa.10.fas', 78.214, 16.643, 12.986, 4.629, 2.843, 57.757, 119, 1.7, 56.227, 9, 1, 8, 2, 7, 2, 95, 4, 0, 0, 0, 0, 0, 8, 14, 1113, 2315, 1209, 280, 107
'bali_phy_msa.100.fas', 75.629, 17.582, 14.614, 5.457, 2.843, 52.714, 122, 1.743, 55.754, 12, 1, 10, 1, 8, 1, 92, 13, 0, 0, 0, 0, 0, 8, 17, 1141, 2277, 1244, 280, 107
'bali_phy_msa.101.fas', 74.757, 17.64, 8.471, 4.514, 4.829, 56.943, 120, 1.714, 54.533, 11, 2, 3, 2, 6, 1, 100, 12, 0, 0, 0, 0, 0, 6, 14, 1134, 2184, 1322, 280, 107
'bali_phy_msa.102.fas', 70.3, 18.844, 9.3, 6.471, 2.843, 51.686, 128, 1.829, 54.867, 8, 2, 7, 3, 9, 1, 104, 10, 0, 0, 0, 0, 0, 6, 20, 1132, 1841, 1174, 280, 107
'bali_phy_msa.103.fas', 72.086, 18.488, 11.071, 8.171, 2.786, 50.057, 129, 1.843, 54.953, 12, 3, 4, 1, 6, 1, 107, 15, 0, 0, 0, 0, 0, 6, 19, 1141, 1847, 1056, 280, 107
'bali_phy_msa.104.fas', 76.557, 17.16, 11.357, 7.329, 1.943, 55.929, 120, 1.714, 54.525, 9, 4, 9, 1, 6, 2, 96, 11, 0, 0, 0, 0, 0, 8, 21, 1126, 2265, 1319, 280, 107
'bali_phy_msa.105.fas', 70.743, 18.443, 8.514, 6.529, 5.457, 50.243, 131, 1.871, 50.313, 14, 2, 7, 3, 7, 0, 103, 12, 0, 0, 0, 0, 0, 8, 21, 1132, 1661, 1404, 280, 107
'bali_phy_msa.106.fas', 75.471, 17.645, 9.386, 8.3, 4.557, 53.229, 141, 2.014, 53.759, 8, 2, 6, 0, 6, 0, 121, 13, 0, 0, 0, 0, 0, 5, 20, 1133, 1896, 1683, 280, 107
'bali_phy_msa.107.fas', 77.386, 17.067, 10.143, 5.414, 4.771, 57.057, 119, 1.7, 57.286, 9, 4, 6, 1, 11, 1, 93, 12, 0, 0, 0, 0, 0, 6, 19, 1134, 2200, 1280, 280, 107
'bali_phy_msa.108.fas', 75.043, 17.679, 8.614, 5.514, 4.629, 56.286, 122, 1.743, 56.156, 14, 2, 5, 2, 4, 1, 99, 12, 0, 0, 0, 0, 0, 6, 20, 1141, 2107, 1333, 280, 107
'bali_phy_msa.109.fas', 73.771, 17.957, 10.271, 9.043, 2.771, 51.686, 127, 1.814, 59.047, 13, 1, 4, 0, 6, 0, 104, 13, 0, 0, 0, 0, 0, 6, 15, 1134, 2082, 1117, 280, 107
'bali_phy_msa.11.fas', 79.486, 16.414, 9.143, 6.343, 5.671, 58.329, 110, 1.571, 56.4, 11, 4, 4, 1, 6, 2, 89, 14, 0, 0, 0, 0, 0, 10, 21, 1120, 2727, 1109, 280, 107
'bali_phy_msa.110.fas', 71.086, 18.157, 12.957, 3.686, 3.629, 50.814, 127, 1.814, 53.898, 10, 1, 4, 1, 6, 0, 107, 11, 0, 0, 0, 0, 0, 8, 17, 1117, 1717, 1224, 280, 107
'bali_phy_msa.111.fas', 78.371, 17.056, 14.786, 4.8, 5.414, 53.371, 131, 1.871, 52.229, 11, 3, 6, 1, 11, 0, 103, 8, 0, 0, 0, 0, 0, 8, 20, 1155, 2406, 1065, 280, 107
'bali_phy_msa.112.fas', 78.729, 16.928, 11.329, 6.257, 4.586, 56.557, 119, 1.7, 57.63, 7, 4, 3, 2, 2, 1, 107, 9, 0, 0, 0, 0, 0, 10, 17, 1151, 2480, 1311, 280, 107
'bali_phy_msa.113.fas', 70.386, 18.466, 6.757, 7.243, 3.629, 52.757, 123, 1.757, 54.122, 9, 3, 4, 1, 6, 1, 104, 15, 0, 0, 0, 0, 0, 7, 29, 1121, 1838, 1062, 280, 107
'bali_phy_msa.114.fas', 77.514, 17.025, 11.371, 7.286, 4.586, 54.271, 111, 1.586, 60.342, 7, 2, 7, 0, 7, 0, 90, 16, 0, 0, 0, 0, 0, 10, 14, 1127, 2325, 1285, 280, 107
'bali_phy_msa.115.fas', 78.071, 17.083, 11.229, 5.329, 3.714, 57.8, 121, 1.729, 55.38, 10, 4, 6, 1, 6, 1, 99, 11, 0, 0, 0, 0, 0, 3, 17, 1148, 2562, 1125, 280, 107
'bali_phy_msa.116.fas', 75.929, 17.355, 8.5, 9.086, 5.486, 52.857, 127, 1.814, 49.874, 15, 2, 6, 1, 5, 0, 101, 13, 0, 0, 0, 0, 0, 6, 15, 1126, 1993, 1497, 280, 107
'bali_phy_msa.117.fas', 79.271, 16.661, 15.757, 6.329, 3.686, 53.5, 122, 1.743, 52.385, 7, 1, 5, 1, 7, 1, 103, 9, 0, 0, 0, 0, 0, 9, 19, 1134, 2698, 1083, 280, 107
