code_K5,k_mer_max_K5,k_mer_average_K5,k_mer_95_pct_K5,k_mer_90_pct_K5,kmer_sum_of_top_10_K5
'bali_phy_msa.1.fas', 9275, 3.975, 3, 2, 9422
'bali_phy_msa.10.fas', 16031, 6.266, 4, 3, 16467
'bali_phy_msa.100.fas', 16417, 6.209, 4, 3, 16779
'bali_phy_msa.101.fas', 16237, 6.163, 4, 3, 16619
'bali_phy_msa.102.fas', 16618, 6.492, 4, 3, 17069
'bali_phy_msa.103.fas', 16752, 6.493, 4, 3, 17278
'bali_phy_msa.104.fas', 16560, 6.367, 4, 3, 16945
'bali_phy_msa.105.fas', 16979, 6.516, 4, 3, 17455
'bali_phy_msa.106.fas', 17329, 6.733, 5, 3, 17877
'bali_phy_msa.107.fas', 16685, 6.361, 4, 3, 17065
'bali_phy_msa.108.fas', 16085, 6.437, 5, 3, 16516
'bali_phy_msa.109.fas', 16515, 6.331, 4, 3, 16959
'bali_phy_msa.11.fas', 16636, 6.385, 4, 3, 17068
'bali_phy_msa.110.fas', 16403, 6.212, 4, 3, 16764
'bali_phy_msa.111.fas', 17177, 6.701, 5, 3, 17626
'bali_phy_msa.112.fas', 16391, 6.272, 4, 3, 16814
'bali_phy_msa.113.fas', 16752, 6.5, 4, 3, 17144
'bali_phy_msa.114.fas', 16430, 6.18, 4, 3, 16822
'bali_phy_msa.115.fas', 16225, 6.144, 4, 3, 16623
'bali_phy_msa.116.fas', 16565, 6.295, 4, 3, 16953
'bali_phy_msa.117.fas', 16608, 6.45, 4, 3, 17020
'bali_phy_msa.118.fas', 16318, 6.231, 4, 3, 16721
'bali_phy_msa.119.fas', 16373, 6.234, 4, 3, 16747
'bali_phy_msa.12.fas', 16277, 6.353, 4, 3, 16680
'bali_phy_msa.120.fas', 16829, 6.451, 4, 3, 17281
'bali_phy_msa.121.fas', 16607, 6.362, 4, 3, 17006
'bali_phy_msa.122.fas', 16174, 6.329, 4, 3, 16626
'bali_phy_msa.123.fas', 16121, 6.243, 4, 3, 16525
'bali_phy_msa.124.fas', 16986, 6.416, 4, 3, 17383
'bali_phy_msa.125.fas', 16062, 6.124, 4, 3, 16494
'bali_phy_msa.126.fas', 17408, 6.848, 5, 3, 17924
'bali_phy_msa.127.fas', 16164, 6.433, 5, 3, 16611
'bali_phy_msa.128.fas', 16748, 6.394, 4, 3, 17190
'bali_phy_msa.129.fas', 16263, 6.341, 5, 3, 16724
'bali_phy_msa.13.fas', 16210, 6.313, 4, 3, 16636
'bali_phy_msa.130.fas', 16870, 6.808, 5, 3, 17281
'bali_phy_msa.131.fas', 16486, 6.199, 4, 3, 16849
'bali_phy_msa.132.fas', 16486, 6.383, 4, 3, 16966
'bali_phy_msa.133.fas', 16424, 6.383, 5, 3, 16816
'bali_phy_msa.134.fas', 16669, 6.425, 5, 3, 17091
'bali_phy_msa.135.fas', 16237, 6.295, 4, 3, 16644
'bali_phy_msa.136.fas', 16136, 6.171, 4, 3, 16568
'bali_phy_msa.137.fas', 15914, 6.349, 4, 3, 16404
'bali_phy_msa.138.fas', 17437, 6.687, 4, 3, 17833
'bali_phy_msa.139.fas', 16175, 6.171, 4, 3, 16583
'bali_phy_msa.14.fas', 15976, 6.17, 4, 3, 16373
'bali_phy_msa.140.fas', 16539, 6.352, 4, 3, 17030
'bali_phy_msa.141.fas', 17056, 6.677, 4, 3, 17564
'bali_phy_msa.142.fas', 16116, 6.142, 4, 3, 16501
'bali_phy_msa.143.fas', 16454, 6.451, 4, 3, 16980
'bali_phy_msa.144.fas', 16411, 6.442, 4, 3, 16840
'bali_phy_msa.145.fas', 16860, 6.734, 5, 3, 17336
'bali_phy_msa.146.fas', 16068, 6.331, 4, 3, 16481
'bali_phy_msa.147.fas', 16572, 6.454, 5, 3, 16994
'bali_phy_msa.148.fas', 16832, 6.612, 4, 3, 17296
'bali_phy_msa.149.fas', 16509, 6.485, 5, 3, 16967
'bali_phy_msa.15.fas', 18174, 6.903, 4, 3, 18649
'bali_phy_msa.150.fas', 16482, 6.532, 4, 3, 16949
'bali_phy_msa.151.fas', 16445, 6.372, 4, 3, 16874
'bali_phy_msa.152.fas', 16348, 6.347, 4, 3, 16789
'bali_phy_msa.153.fas', 16413, 6.326, 4, 3, 16831
'bali_phy_msa.154.fas', 16241, 6.376, 4, 3, 16710
'bali_phy_msa.155.fas', 16370, 6.348, 4, 3, 16743
'bali_phy_msa.156.fas', 16427, 6.388, 4, 3, 16921
'bali_phy_msa.157.fas', 16494, 6.354, 4, 3, 16983
'bali_phy_msa.158.fas', 17401, 6.892, 5, 3, 17844
'bali_phy_msa.159.fas', 16738, 6.364, 4, 3, 17134
'bali_phy_msa.16.fas', 16701, 6.707, 5, 3, 17240
'bali_phy_msa.160.fas', 16111, 6.195, 4, 3, 16557
'bali_phy_msa.161.fas', 16501, 6.191, 4, 3, 16902
'bali_phy_msa.162.fas', 16256, 6.262, 4, 3, 16717
