code_BLOSUM62_GO_-10_GE_-0.2,sp_match_count,sp_match_count_norm,sp_mismatch_count,sp_mismatch_count_norm,sp_go,sp_go_norm,sp_ge,sp_ge_norm,sp_match_BLOSUM62,sp_match_norm_BLOSUM62,sp_mismatch_BLOSUM62,sp_mismatch_norm_BLOSUM62,sp_BLOSUM62_GO_-10_GE_-0.2,sp_norm_BLOSUM62_GO_-10_GE_-0.2
'bali_phy_msa.1.fas', 8943.0, 0.026, 71201, 0.208, 1217, 0.004, 61633, 0.18, 46402.0, 0.135, -86409, -0.252, -64503.6, -0.188
'bali_phy_msa.10.fas', 33947.0, 0.061, 25032, 0.045, 5444, 0.01, 103963, 0.186, 183706.0, 0.329, -11791, -0.021, 96682.4, 0.173
'bali_phy_msa.100.fas', 33882.0, 0.061, 25155, 0.045, 5086, 0.009, 103847, 0.185, 183879.0, 0.328, -11680, -0.021, 100569.6, 0.18
'bali_phy_msa.101.fas', 33718.0, 0.06, 25575, 0.046, 5148, 0.009, 103335, 0.185, 182880.0, 0.327, -12493, -0.022, 98240.0, 0.176
'bali_phy_msa.102.fas', 33337.0, 0.058, 24802, 0.043, 5452, 0.009, 105643, 0.183, 181318.0, 0.315, -11840, -0.021, 93829.4, 0.163
'bali_phy_msa.103.fas', 33566.0, 0.058, 25194, 0.044, 5260, 0.009, 104401, 0.181, 181965.0, 0.315, -11684, -0.02, 96800.8, 0.168
'bali_phy_msa.104.fas', 33686.0, 0.059, 25492, 0.045, 5043, 0.009, 103565, 0.182, 182490.0, 0.32, -11931, -0.021, 99416.0, 0.175
'bali_phy_msa.105.fas', 33575.0, 0.058, 24616, 0.042, 5130, 0.009, 105539, 0.182, 181488.0, 0.313, -10821, -0.019, 98259.2, 0.17
'bali_phy_msa.106.fas', 33704.0, 0.056, 25132, 0.042, 5326, 0.009, 104249, 0.174, 182683.0, 0.306, -11863, -0.02, 96710.2, 0.162
'bali_phy_msa.107.fas', 33916.0, 0.06, 25006, 0.044, 5142, 0.009, 104077, 0.184, 184058.0, 0.325, -11300, -0.02, 100522.6, 0.177
