code_BLOSUM62_GO_-10_GE_-1,sp_HENIKOFF_with_gaps_BLOSUM62_GO_-10_GE_-1,sp_HENIKOFF_without_gaps_BLOSUM62_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_mid_root_BLOSUM62_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_diff_sum_BLOSUM62_GO_-10_GE_-1
'bali_phy_msa.1.fas', -71.927, -71.586, -111931.083, -115568.749
'bali_phy_msa.10.fas', 94.364, 84.118, 932.689, 769.777
'bali_phy_msa.100.fas', 91.282, 80.121, 894.691, 720.973
'bali_phy_msa.101.fas', 90.613, 79.303, 923.455, 721.099
'bali_phy_msa.102.fas', 92.35, 81.519, 969.433, 719.1
'bali_phy_msa.103.fas', 90.662, 79.756, 892.018, 705.648
'bali_phy_msa.104.fas', 93.424, 83.058, 915.907, 751.044
'bali_phy_msa.105.fas', 93.95, 83.46, 972.409, 767.39
'bali_phy_msa.106.fas', 88.709, 77.495, 851.01, 686.452
'bali_phy_msa.107.fas', 93.36, 82.488, 867.043, 740.07
'bali_phy_msa.108.fas', 92.972, 82.032, 816.391, 733.438
'bali_phy_msa.109.fas', 92.66, 82.134, 822.551, 728.571
'bali_phy_msa.11.fas', 94.475, 84.32, 971.519, 765.98
'bali_phy_msa.110.fas', 96.213, 86.031, 1065.456, 798.118
'bali_phy_msa.111.fas', 89.035, 77.627, 765.574, 680.306
'bali_phy_msa.112.fas', 92.81, 82.032, 869.207, 720.693
'bali_phy_msa.113.fas', 95.098, 84.722, 1000.399, 779.346
'bali_phy_msa.114.fas', 92.366, 81.388, 884.589, 735.859
'bali_phy_msa.115.fas', 91.109, 79.655, 840.016, 708.906
'bali_phy_msa.116.fas', 91.729, 80.69, 877.461, 737.269
'bali_phy_msa.117.fas', 92.549, 81.66, 831.04, 729.607
'bali_phy_msa.118.fas', 90.731, 79.545, 860.026, 707.729
'bali_phy_msa.119.fas', 93.256, 82.627, 907.32, 757.206
'bali_phy_msa.12.fas', 92.32, 81.639, 887.319, 728.216
'bali_phy_msa.120.fas', 93.963, 83.3, 888.164, 746.422
'bali_phy_msa.121.fas', 93.472, 82.59, 951.518, 762.54
'bali_phy_msa.122.fas', 90.941, 79.776, 844.193, 691.953
'bali_phy_msa.123.fas', 92.393, 81.431, 762.07, 713.528
'bali_phy_msa.124.fas', 92.978, 82.503, 963.233, 712.252
'bali_phy_msa.125.fas', 93.02, 82.234, 951.364, 727.651
'bali_phy_msa.126.fas', 94.113, 83.857, 907.595, 778.375
'bali_phy_msa.127.fas', 96.378, 86.754, 1024.226, 812.395
'bali_phy_msa.128.fas', 92.028, 80.781, 915.818, 729.898
'bali_phy_msa.129.fas', 95.08, 84.673, 1003.356, 788.155
'bali_phy_msa.13.fas', 92.981, 82.297, 881.444, 721.194
'bali_phy_msa.130.fas', 92.701, 81.728, 928.227, 727.867
'bali_phy_msa.131.fas', 90.374, 79.144, 785.346, 700.002
'bali_phy_msa.132.fas', 94.301, 84.239, 935.562, 765.117
'bali_phy_msa.133.fas', 91.74, 80.933, 886.813, 723.084
'bali_phy_msa.134.fas', 93.084, 82.555, 1000.548, 757.122
'bali_phy_msa.135.fas', 91.76, 80.827, 908.594, 731.287
'bali_phy_msa.136.fas', 94.658, 83.895, 940.691, 772.527
'bali_phy_msa.137.fas', 91.262, 80.172, 824.577, 722.453
'bali_phy_msa.138.fas', 92.695, 81.953, 896.437, 733.193
'bali_phy_msa.139.fas', 95.445, 85.317, 924.199, 768.582
'bali_phy_msa.14.fas', 93.494, 82.727, 989.741, 747.847
'bali_phy_msa.140.fas', 93.108, 82.573, 930.307, 741.319
'bali_phy_msa.141.fas', 94.094, 83.788, 989.289, 764.569
'bali_phy_msa.142.fas', 94.264, 83.835, 905.975, 762.346
'bali_phy_msa.143.fas', 92.928, 82.203, 1011.279, 745.478
'bali_phy_msa.144.fas', 91.961, 81.161, 837.357, 734.3
'bali_phy_msa.145.fas', 91.016, 80.038, 867.465, 715.207
'bali_phy_msa.146.fas', 92.945, 82.385, 908.08, 736.899
'bali_phy_msa.147.fas', 93.137, 82.745, 966.041, 746.44
'bali_phy_msa.148.fas', 90.04, 78.761, 843.579, 701.256
'bali_phy_msa.149.fas', 92.756, 81.661, 937.936, 731.12
'bali_phy_msa.15.fas', 91.99, 80.737, 822.11, 702.283
'bali_phy_msa.150.fas', 96.057, 86.144, 967.868, 787.983
'bali_phy_msa.151.fas', 95.581, 85.632, 1064.961, 785.115
'bali_phy_msa.152.fas', 92.436, 82.167, 966.885, 744.137
'bali_phy_msa.153.fas', 93.777, 83.422, 936.104, 757.001
'bali_phy_msa.154.fas', 91.752, 80.812, 905.494, 719.785
'bali_phy_msa.155.fas', 90.961, 79.595, 822.881, 709.464
'bali_phy_msa.156.fas', 93.657, 83.053, 927.909, 750.507
'bali_phy_msa.157.fas', 88.55, 77.127, 755.041, 683.85
'bali_phy_msa.158.fas', 93.436, 82.576, 917.804, 742.863
'bali_phy_msa.159.fas', 95.181, 84.466, 919.275, 770.657
'bali_phy_msa.16.fas', 91.668, 80.633, 889.841, 708.073
'bali_phy_msa.160.fas', 89.181, 78.38, 825.676, 701.114
'bali_phy_msa.161.fas', 91.268, 79.996, 924.044, 703.716
'bali_phy_msa.162.fas', 93.063, 82.726, 970.76, 754.196
'bali_phy_msa.163.fas', 92.775, 82.124, 832.534, 724.067
'bali_phy_msa.164.fas', 94.281, 83.866, 956.269, 758.452
'bali_phy_msa.165.fas', 91.343, 80.227, 782.175, 706.006
'bali_phy_msa.166.fas', 93.112, 82.543, 939.69, 736.721
'bali_phy_msa.167.fas', 94.28, 83.989, 925.348, 764.026
'bali_phy_msa.168.fas', 92.436, 81.646, 914.362, 722.822
'bali_phy_msa.169.fas', 91.208, 80.13, 750.847, 705.859
'bali_phy_msa.17.fas', 91.59, 80.5, 886.077, 726.76
'bali_phy_msa.170.fas', 92.83, 82.57, 934.002, 744.232
'bali_phy_msa.171.fas', 94.5, 84.37, 965.695, 778.166
'bali_phy_msa.172.fas', 89.646, 78.294, 822.282, 699.282
'bali_phy_msa.173.fas', 93.451, 82.773, 923.723, 758.36
'bali_phy_msa.174.fas', 94.203, 83.758, 980.298, 745.655
'bali_phy_msa.175.fas', 91.705, 80.482, 882.248, 715.113
'bali_phy_msa.176.fas', 92.692, 81.67, 844.07, 732.024
'bali_phy_msa.177.fas', 91.278, 80.049, 919.699, 705.305
'bali_phy_msa.178.fas', 92.599, 81.902, 871.294, 754.948
'bali_phy_msa.179.fas', 89.877, 78.533, 810.111, 676.756
'bali_phy_msa.18.fas', 92.655, 81.323, 918.091, 725.653
'bali_phy_msa.180.fas', 90.525, 79.119, 953.435, 711.86
'bali_phy_msa.181.fas', 91.18, 80.263, 895.684, 728.432
'bali_phy_msa.182.fas', 92.71, 81.96, 921.91, 729.559
