code_BLOSUM62_GO_-6_GE_-0.2,sp_HENIKOFF_with_gaps_BLOSUM62_GO_-6_GE_-0.2,sp_HENIKOFF_without_gaps_BLOSUM62_GO_-6_GE_-0.2,sp_CLUSTAL_WEIGHTS_mid_root_BLOSUM62_GO_-6_GE_-0.2,sp_CLUSTAL_WEIGHTS_diff_sum_BLOSUM62_GO_-6_GE_-0.2
'bali_phy_msa.1.fas', -53.322, -53.586, -83854.262, -86727.592
'bali_phy_msa.10.fas', 152.318, 146.855, 1578.362, 1358.015
'bali_phy_msa.100.fas', 150.574, 144.546, 1546.363, 1309.245
'bali_phy_msa.101.fas', 149.931, 143.764, 1589.817, 1313.771
'bali_phy_msa.102.fas', 151.141, 145.345, 1647.231, 1301.808
'bali_phy_msa.103.fas', 150.18, 144.284, 1550.777, 1294.484
'bali_phy_msa.104.fas', 151.863, 146.333, 1558.536, 1335.976
'bali_phy_msa.105.fas', 151.59, 145.95, 1634.461, 1354.416
'bali_phy_msa.106.fas', 149.036, 143.017, 1509.835, 1282.652
'bali_phy_msa.107.fas', 152.18, 146.391, 1495.269, 1324.288
'bali_phy_msa.108.fas', 151.623, 145.755, 1422.142, 1314.047
'bali_phy_msa.109.fas', 151.367, 145.738, 1438.755, 1315.171
'bali_phy_msa.11.fas', 152.592, 147.215, 1633.087, 1354.257
'bali_phy_msa.110.fas', 153.432, 148.086, 1750.197, 1386.445
'bali_phy_msa.111.fas', 149.327, 143.134, 1385.138, 1272.388
'bali_phy_msa.112.fas', 151.698, 145.942, 1498.642, 1298.199
'bali_phy_msa.113.fas', 152.602, 147.079, 1662.549, 1362.7
'bali_phy_msa.114.fas', 151.508, 145.627, 1528.469, 1329.045
'bali_phy_msa.115.fas', 150.906, 144.75, 1480.87, 1302.029
'bali_phy_msa.116.fas', 150.75, 144.808, 1523.311, 1331.938
'bali_phy_msa.117.fas', 151.679, 145.903, 1456.918, 1322.747
'bali_phy_msa.118.fas', 150.298, 144.186, 1501.863, 1295.876
'bali_phy_msa.119.fas', 151.648, 145.977, 1551.552, 1347.42
'bali_phy_msa.12.fas', 150.854, 145.141, 1527.834, 1311.172
'bali_phy_msa.120.fas', 151.915, 146.219, 1514.221, 1322.837
'bali_phy_msa.121.fas', 151.494, 145.669, 1608.386, 1350.946
'bali_phy_msa.122.fas', 150.534, 144.489, 1477.788, 1271.345
'bali_phy_msa.123.fas', 151.865, 146.017, 1355.993, 1297.547
'bali_phy_msa.124.fas', 152.097, 146.548, 1636.585, 1288.545
'bali_phy_msa.125.fas', 152.028, 146.315, 1621.243, 1312.018
'bali_phy_msa.126.fas', 152.287, 146.84, 1544.58, 1373.988
'bali_phy_msa.127.fas', 152.877, 147.718, 1679.472, 1395.321
'bali_phy_msa.128.fas', 150.737, 144.694, 1574.19, 1317.358
'bali_phy_msa.129.fas', 152.216, 146.587, 1663.934, 1371.699
'bali_phy_msa.13.fas', 151.874, 146.193, 1516.24, 1298.151
'bali_phy_msa.130.fas', 151.702, 145.861, 1586.475, 1308.373
'bali_phy_msa.131.fas', 150.316, 144.251, 1404.632, 1292.565
'bali_phy_msa.132.fas', 151.947, 146.581, 1579.493, 1350.476
'bali_phy_msa.133.fas', 151.11, 145.311, 1537.443, 1311.48
'bali_phy_msa.134.fas', 151.065, 145.35, 1678.337, 1344.866
'bali_phy_msa.135.fas', 150.727, 144.841, 1562.655, 1318.606
'bali_phy_msa.136.fas', 152.099, 146.31, 1585.144, 1356.433
'bali_phy_msa.137.fas', 150.82, 144.937, 1454.473, 1318.952
'bali_phy_msa.138.fas', 151.5, 145.774, 1545.449, 1323.353
'bali_phy_msa.139.fas', 153.2, 147.856, 1556.815, 1347.661
'bali_phy_msa.14.fas', 151.798, 146.056, 1666.387, 1333.182
'bali_phy_msa.140.fas', 151.191, 145.517, 1580.037, 1323.413
'bali_phy_msa.141.fas', 152.226, 146.785, 1659.325, 1351.235
'bali_phy_msa.142.fas', 152.104, 146.533, 1545.607, 1351.634
'bali_phy_msa.143.fas', 151.475, 145.729, 1700.99, 1334.296
'bali_phy_msa.144.fas', 150.621, 144.795, 1460.017, 1324.541
'bali_phy_msa.145.fas', 150.664, 144.795, 1514.414, 1306.646
'bali_phy_msa.146.fas', 151.599, 145.983, 1558.134, 1322.357
'bali_phy_msa.147.fas', 151.391, 145.778, 1635.361, 1336.042
'bali_phy_msa.148.fas', 149.784, 143.703, 1487.521, 1291.558
'bali_phy_msa.149.fas', 151.378, 145.37, 1597.502, 1314.634
'bali_phy_msa.15.fas', 151.437, 145.436, 1442.759, 1282.416
'bali_phy_msa.150.fas', 153.161, 147.931, 1610.551, 1367.619
'bali_phy_msa.151.fas', 153.1, 147.852, 1755.257, 1374.159
'bali_phy_msa.152.fas', 151.273, 145.787, 1638.483, 1334.387
'bali_phy_msa.153.fas', 152.081, 146.59, 1589.46, 1345.9
'bali_phy_msa.154.fas', 150.905, 144.936, 1559.224, 1305.084
'bali_phy_msa.155.fas', 150.178, 143.984, 1446.48, 1294.504
'bali_phy_msa.156.fas', 151.748, 146.004, 1573.55, 1332.452
'bali_phy_msa.157.fas', 149.297, 143.227, 1376.624, 1283.247
'bali_phy_msa.158.fas', 152.021, 146.215, 1566.547, 1328.017
'bali_phy_msa.159.fas', 152.767, 146.986, 1550.948, 1351.516
'bali_phy_msa.16.fas', 151.018, 145.141, 1541.805, 1292.452
'bali_phy_msa.160.fas', 149.08, 143.225, 1467.677, 1301.323
'bali_phy_msa.161.fas', 151.051, 144.999, 1594.373, 1289.281
'bali_phy_msa.162.fas', 151.323, 145.866, 1643.561, 1345.688
'bali_phy_msa.163.fas', 151.622, 145.909, 1446.776, 1303.386
'bali_phy_msa.164.fas', 151.942, 146.338, 1610.107, 1340.392
'bali_phy_msa.165.fas', 151.155, 145.288, 1396.906, 1299.032
'bali_phy_msa.166.fas', 151.665, 146.004, 1600.002, 1322.626
'bali_phy_msa.167.fas', 152.301, 146.879, 1569.002, 1350.089
'bali_phy_msa.168.fas', 151.578, 145.778, 1571.133, 1306.847
'bali_phy_msa.169.fas', 150.612, 144.625, 1342.887, 1289.602
'bali_phy_msa.17.fas', 150.742, 144.735, 1530.632, 1313.355
'bali_phy_msa.170.fas', 151.671, 146.22, 1596.298, 1335.195
'bali_phy_msa.171.fas', 152.004, 146.659, 1623.805, 1367.897
'bali_phy_msa.172.fas', 149.368, 143.29, 1464.826, 1295.819
'bali_phy_msa.173.fas', 151.609, 145.908, 1571.157, 1345.731
'bali_phy_msa.174.fas', 152.329, 146.733, 1646.112, 1324.602
'bali_phy_msa.175.fas', 150.465, 144.368, 1524.258, 1295.172
'bali_phy_msa.176.fas', 151.231, 145.272, 1463.855, 1314.138
'bali_phy_msa.177.fas', 150.628, 144.595, 1587.728, 1289.876
'bali_phy_msa.178.fas', 151.213, 145.48, 1501.841, 1348.074
'bali_phy_msa.179.fas', 149.861, 143.823, 1443.535, 1259.347
'bali_phy_msa.18.fas', 151.512, 145.391, 1567.459, 1303.887
'bali_phy_msa.180.fas', 150.297, 144.159, 1641.214, 1308.807
'bali_phy_msa.181.fas', 149.73, 143.763, 1547.79, 1318.841
'bali_phy_msa.182.fas', 151.265, 145.504, 1574.755, 1310.872
'bali_phy_msa.183.fas', 151.769, 146.093, 1602.242, 1323.589
'bali_phy_msa.184.fas', 151.711, 146.0, 1674.478, 1340.712
'bali_phy_msa.185.fas', 150.681, 144.789, 1556.063, 1290.641
'bali_phy_msa.186.fas', 151.295, 145.514, 1488.496, 1339.455
'bali_phy_msa.187.fas', 151.199, 145.124, 1538.506, 1288.338
'bali_phy_msa.188.fas', 150.715, 144.803, 1526.006, 1281.32
'bali_phy_msa.189.fas', 150.188, 144.358, 1610.006, 1309.714
'bali_phy_msa.19.fas', 151.612, 145.825, 1688.833, 1329.853
'bali_phy_msa.190.fas', 150.876, 145.021, 1514.52, 1333.365
'bali_phy_msa.191.fas', 151.425, 145.947, 1634.55, 1349.995
'bali_phy_msa.192.fas', 150.528, 144.748, 1452.798, 1304.044
'bali_phy_msa.193.fas', 152.048, 146.543, 1628.422, 1353.031
'bali_phy_msa.194.fas', 149.011, 143.006, 1500.162, 1262.756
'bali_phy_msa.195.fas', 151.254, 145.529, 1467.466, 1327.161
