code_PAM250_GO_-10_GE_-1,sp_HENIKOFF_with_gaps_PAM250_GO_-10_GE_-1,sp_HENIKOFF_without_gaps_PAM250_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_mid_root_PAM250_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_diff_sum_PAM250_GO_-10_GE_-1
'bali_phy_msa.1.fas', -68.003, -69.952, -57.784, -70.035
'bali_phy_msa.10.fas', -9.896, -5.527, -11.718, -13.346
'bali_phy_msa.100.fas', -8.981, -4.852, -11.848, -13.611
'bali_phy_msa.101.fas', -9.668, -5.435, -10.037, -13.806
'bali_phy_msa.102.fas', -14.912, -11.993, -14.72, -19.681
'bali_phy_msa.103.fas', -11.003, -7.285, -11.44, -15.574
'bali_phy_msa.104.fas', -8.225, -3.484, -9.021, -12.274
'bali_phy_msa.105.fas', -10.299, -6.545, -10.266, -14.363
'bali_phy_msa.106.fas', -9.545, -5.031, -7.817, -14.132
'bali_phy_msa.107.fas', -9.143, -5.285, -12.048, -12.994
'bali_phy_msa.108.fas', -10.834, -7.12, -11.763, -14.497
'bali_phy_msa.109.fas', -8.356, -4.073, -10.43, -12.216
'bali_phy_msa.11.fas', -9.983, -6.206, -12.394, -13.719
'bali_phy_msa.110.fas', -8.937, -5.014, -10.42, -12.443
'bali_phy_msa.111.fas', -11.963, -8.489, -12.777, -15.973
'bali_phy_msa.112.fas', -10.171, -6.481, -10.055, -14.451
'bali_phy_msa.113.fas', -11.143, -7.428, -11.153, -15.659
'bali_phy_msa.114.fas', -10.843, -6.767, -12.52, -14.702
'bali_phy_msa.115.fas', -7.995, -3.455, -11.662, -10.923
'bali_phy_msa.116.fas', -9.451, -5.295, -11.161, -14.077
'bali_phy_msa.117.fas', -14.014, -11.073, -14.04, -19.146
'bali_phy_msa.118.fas', -9.775, -5.711, -12.689, -13.734
'bali_phy_msa.119.fas', -10.159, -6.195, -11.292, -14.744
'bali_phy_msa.12.fas', -8.363, -4.047, -11.947, -12.851
'bali_phy_msa.120.fas', -11.182, -7.7, -12.067, -15.899
'bali_phy_msa.121.fas', -10.594, -7.182, -11.748, -15.812
