code_PAM250_GO_-6_GE_-0.2,sp_HENIKOFF_with_gaps_PAM250_GO_-6_GE_-0.2,sp_HENIKOFF_without_gaps_PAM250_GO_-6_GE_-0.2,sp_CLUSTAL_WEIGHTS_mid_root_PAM250_GO_-6_GE_-0.2,sp_CLUSTAL_WEIGHTS_diff_sum_PAM250_GO_-6_GE_-0.2
'bali_phy_msa.1.fas', -42.484, -42.545, -66408.211, -69098.604
'bali_phy_msa.10.fas', 169.31, 164.167, 1758.025, 1516.482
'bali_phy_msa.100.fas', 167.046, 161.265, 1717.964, 1458.923
'bali_phy_msa.101.fas', 167.193, 161.366, 1775.264, 1472.677
'bali_phy_msa.102.fas', 168.153, 162.723, 1834.869, 1456.089
'bali_phy_msa.103.fas', 166.997, 161.399, 1727.302, 1446.289
'bali_phy_msa.104.fas', 168.468, 163.294, 1731.417, 1488.189
'bali_phy_msa.105.fas', 168.437, 163.101, 1818.109, 1511.578
'bali_phy_msa.106.fas', 165.704, 159.965, 1681.32, 1432.643
'bali_phy_msa.107.fas', 169.577, 164.158, 1670.354, 1482.988
'bali_phy_msa.108.fas', 168.316, 162.729, 1583.193, 1465.371
'bali_phy_msa.109.fas', 168.228, 162.879, 1603.58, 1468.717
'bali_phy_msa.11.fas', 170.142, 165.157, 1823.94, 1518.323
'bali_phy_msa.110.fas', 170.687, 165.666, 1948.259, 1549.686
'bali_phy_msa.111.fas', 166.076, 160.157, 1545.043, 1422.05
'bali_phy_msa.112.fas', 168.637, 163.23, 1669.311, 1450.177
'bali_phy_msa.113.fas', 169.678, 164.497, 1850.539, 1522.199
'bali_phy_msa.114.fas', 168.487, 162.951, 1703.271, 1485.485
'bali_phy_msa.115.fas', 167.954, 162.062, 1652.233, 1456.585
'bali_phy_msa.116.fas', 167.508, 161.825, 1696.348, 1486.44
'bali_phy_msa.117.fas', 168.542, 163.03, 1623.386, 1477.119
'bali_phy_msa.118.fas', 167.355, 161.575, 1675.714, 1450.319
'bali_phy_msa.119.fas', 168.978, 163.599, 1732.913, 1509.101
'bali_phy_msa.12.fas', 167.722, 162.317, 1701.615, 1464.546
'bali_phy_msa.120.fas', 168.294, 162.816, 1680.445, 1471.751
'bali_phy_msa.121.fas', 168.21, 162.632, 1788.348, 1506.665
'bali_phy_msa.122.fas', 167.847, 162.123, 1652.006, 1426.03
'bali_phy_msa.123.fas', 168.776, 163.216, 1512.234, 1448.883
'bali_phy_msa.124.fas', 168.966, 163.685, 1820.409, 1439.595
'bali_phy_msa.125.fas', 168.756, 163.315, 1801.72, 1463.054
'bali_phy_msa.126.fas', 169.537, 164.402, 1723.162, 1537.005
'bali_phy_msa.127.fas', 170.141, 165.366, 1870.91, 1559.9
'bali_phy_msa.128.fas', 167.422, 161.627, 1751.415, 1470.556
'bali_phy_msa.129.fas', 169.424, 164.132, 1853.982, 1533.639
'bali_phy_msa.13.fas', 168.664, 163.24, 1687.64, 1449.214
'bali_phy_msa.130.fas', 168.782, 163.236, 1768.3, 1463.179
'bali_phy_msa.131.fas', 167.129, 161.337, 1566.631, 1444.46
'bali_phy_msa.132.fas', 169.113, 164.072, 1761.478, 1510.415
'bali_phy_msa.133.fas', 167.799, 162.263, 1710.561, 1463.345
'bali_phy_msa.134.fas', 168.523, 163.177, 1874.17, 1508.241
'bali_phy_msa.135.fas', 167.512, 161.853, 1739.394, 1472.099
'bali_phy_msa.136.fas', 169.122, 163.621, 1766.001, 1515.066
'bali_phy_msa.137.fas', 167.918, 162.361, 1624.281, 1476.255
'bali_phy_msa.138.fas', 168.379, 162.941, 1721.051, 1478.303
'bali_phy_msa.139.fas', 170.414, 165.411, 1735.437, 1506.689
'bali_phy_msa.14.fas', 168.815, 163.396, 1854.603, 1489.625
'bali_phy_msa.140.fas', 168.414, 163.106, 1762.495, 1481.775
'bali_phy_msa.141.fas', 169.177, 164.015, 1846.002, 1508.739
'bali_phy_msa.142.fas', 169.597, 164.38, 1727.841, 1514.94
'bali_phy_msa.143.fas', 168.777, 163.374, 1897.072, 1494.632
'bali_phy_msa.144.fas', 167.493, 161.933, 1627.807, 1480.102
'bali_phy_msa.145.fas', 167.565, 161.975, 1687.708, 1460.527
'bali_phy_msa.146.fas', 168.874, 163.633, 1740.225, 1481.451
'bali_phy_msa.147.fas', 168.444, 163.201, 1821.7, 1493.804
'bali_phy_msa.148.fas', 166.444, 160.676, 1657.019, 1442.229
'bali_phy_msa.149.fas', 168.333, 162.651, 1779.129, 1469.028
'bali_phy_msa.15.fas', 168.415, 162.655, 1609.599, 1434.21
'bali_phy_msa.150.fas', 169.836, 164.95, 1788.262, 1522.409
'bali_phy_msa.151.fas', 169.799, 164.813, 1947.267, 1530.49
'bali_phy_msa.152.fas', 168.254, 163.096, 1823.752, 1490.823
'bali_phy_msa.153.fas', 169.303, 164.124, 1772.766, 1505.521
'bali_phy_msa.154.fas', 167.675, 162.004, 1734.678, 1456.997
'bali_phy_msa.155.fas', 167.005, 161.057, 1612.539, 1446.776
'bali_phy_msa.156.fas', 168.227, 162.746, 1746.938, 1483.709
'bali_phy_msa.157.fas', 166.26, 160.458, 1538.774, 1436.749
'bali_phy_msa.158.fas', 168.88, 163.299, 1743.26, 1482.198
'bali_phy_msa.159.fas', 169.799, 164.328, 1727.563, 1509.404
'bali_phy_msa.16.fas', 167.903, 162.307, 1717.423, 1444.35
'bali_phy_msa.160.fas', 166.012, 160.494, 1638.525, 1456.767
'bali_phy_msa.161.fas', 168.064, 162.321, 1776.028, 1442.164
'bali_phy_msa.162.fas', 168.032, 162.941, 1827.744, 1501.274
'bali_phy_msa.163.fas', 168.573, 163.14, 1612.647, 1456.164
'bali_phy_msa.164.fas', 169.222, 163.984, 1796.415, 1500.363
'bali_phy_msa.165.fas', 167.769, 162.133, 1555.082, 1448.52
'bali_phy_msa.166.fas', 168.433, 163.041, 1778.838, 1475.904
'bali_phy_msa.167.fas', 169.437, 164.317, 1748.733, 1508.962
'bali_phy_msa.168.fas', 168.133, 162.614, 1745.367, 1456.29
'bali_phy_msa.169.fas', 167.335, 161.596, 1497.578, 1440.184
'bali_phy_msa.17.fas', 167.627, 161.891, 1704.719, 1467.017
'bali_phy_msa.170.fas', 168.701, 163.616, 1778.356, 1492.187
'bali_phy_msa.171.fas', 168.3, 163.23, 1800.081, 1520.463
'bali_phy_msa.172.fas', 166.053, 160.216, 1633.319, 1447.965
'bali_phy_msa.173.fas', 168.878, 163.52, 1753.609, 1506.328
'bali_phy_msa.174.fas', 169.526, 164.236, 1833.923, 1481.644
