code,taxa_num,constant_sites_pct,n_unique_sites,pypythia_msa_difficulty,entropy_mean,entropy_median,entropy_var,entropy_pct_25,entropy_pct_75,entropy_min,entropy_max,av_gaps,msa_len,seq_max_len,seq_min_len,total_gaps,gaps_len_one,gaps_len_two,gaps_len_three,gaps_len_three_plus,avg_unique_gap,num_unique_gaps,gaps_1seq_len1,gaps_2seq_len1,gaps_all_except_1_len1,gaps_1seq_len2,gaps_2seq_len2,gaps_all_except_1_len2,gaps_1seq_len3,gaps_2seq_len3,gaps_all_except_1_len3,gaps_1seq_len3plus,gaps_2seq_len3plus,gaps_all_except_1_len3plus,num_cols_no_gaps,num_cols_1_gap,num_cols_2_gaps,num_cols_all_gaps_except1,msa_path,sp_score,normalized_sp_score,score
FBXO7,40,0.742788462,618,-1,0.176962233,0.176962233,0.154906148,0,0.116906849,0,2.107555085,3.936279768,832,407,323,4661,1922,746,427,1566,6.33557047,149,41,2,6,24,3,5,16,2,2,68,6,7,126,94,57,390,/Users/kpolonsky/Downloads/TEST//MSAs//FBXO7_TRUE.fas,1263795,0.9925,0.0639
DAAM1,40,0.843621399,747,-1,0.105320036,0.105320036,0.102293437,0,0,0,2.450293483,3.531399317,1215,725,648,5860,2797,950,445,1668,5.777070064,157,59,6,23,22,4,4,16,1,1,60,5,17,322,202,76,389,/Users/kpolonsky/Downloads/TEST//MSAs//DAAM1_TRUE.fas,2928802.5,0.9985,0.0213
B3GALTL,40,0.785911602,515,-1,0.138967171,0.138967171,0.122912619,0,0,0,2.284951774,4.025925926,724,367,269,4050,1888,647,385,1130,8.857142857,112,27,6,5,18,1,1,12,1,0,55,8,2,89,91,68,337,/Users/kpolonsky/Downloads/TEST//MSAs//B3GALTL_TRUE.fas,1162219,1.0012,0.0445
MYF5,40,0.759878419,267,-1,0.134703392,0.134703392,0.104342328,0,0,0,2.030434156,4.63518385,329,209,145,1387,497,274,186,430,4.859649123,57,27,1,2,7,0,0,3,0,0,20,3,1,50,41,35,102,/Users/kpolonsky/Downloads/TEST//MSAs//MYF5_TRUE.fas,609827,1,0.0565
RCN2,40,0.789215686,339,-1,0.147651375,0.147651375,0.137136206,0,0,0,2.147110017,3.67653864,408,243,192,2161,927,424,189,621,7.425925926,54,14,4,3,8,4,1,6,1,0,26,2,3,69,78,24,132,/Users/kpolonsky/Downloads/TEST//MSAs//RCN2_TRUE.fas,811942,0.999,0.0375
SYDE2,40,0.706792199,1041,-1,0.172171053,0.172171053,0.121790613,0,0.124250837,0,2.276870312,3.837248322,1487,781,704,7748,3434,1278,690,2346,6.925110132,227,66,9,24,36,5,9,23,2,3,102,12,7,271,196,102,633,/Users/kpolonsky/Downloads/TEST//MSAs//SYDE2_TRUE.fas,2791575.5,0.9958,0.037
VPS45,40,0.828804348,411,-1,0.088678037,0.088678037,0.064412934,0,0,0,2.033504185,4.143132397,736,387,336,3633,1953,447,315,918,5.775193798,129,44,5,14,23,0,2,13,2,2,49,6,6,115,126,89,268,/Users/kpolonsky/Downloads/TEST//MSAs//VPS45_TRUE.fas,1478595.5,1.006,0.0422
FZD6,40,0.780405405,637,-1,0.142150175,0.142150175,0.114570943,0,0,0,2.3365649,4.079924777,888,491,429,4254,1909,680,571,1094,5.529850746,134,45,3,14,20,3,2,16,5,2,53,5,6,182,131,71,285,/Users/kpolonsky/Downloads/TEST//MSAs//FZD6_TRUE.fas,1813200.5,0.9956,0.0469
GPD2,40,0.807736064,565,-1,0.150175066,0.150175066,0.144049533,0,0,0,2.428871318,3.949617189,879,528,432,4049,1964,554,460,1071,6.213592233,103,38,3,24,15,4,3,15,3,3,35,5,5,249,139,37,280,/Users/kpolonsky/Downloads/TEST//MSAs//GPD2_TRUE.fas,1923996.5,1.0007,0.0242
RHBDD1,40,0.736596737,368,-1,0.175323527,0.175323527,0.146252795,0,0.124250837,0,1.975627196,4.201830664,429,227,142,2185,894,359,190,742,9.680851064,94,26,5,0,10,0,1,5,2,0,53,9,0,20,54,38,165,/Users/kpolonsky/Downloads/TEST//MSAs//RHBDD1_TRUE.fas,659487,1.0012,0.051
FNDC3A,40,0.805993691,732,-1,0.113717687,0.113717687,0.094967819,0,0,0,2.269428346,3.728419393,1268,837,771,5074,2209,841,509,1515,4.228571429,140,62,4,16,22,2,9,11,1,4,45,8,19,471,203,65,393,/Users/kpolonsky/Downloads/TEST//MSAs//FNDC3A_TRUE.fas,3473897,1.0005,0.0086
SLC38A4,40,0.767790262,553,-1,0.138872724,0.138872724,0.106431331,0,0,0,2.278600849,4.047832234,801,433,334,4244,1757,711,627,1149,8.786407767,103,23,8,7,29,4,3,8,3,3,43,6,6,133,109,62,327,/Users/kpolonsky/Downloads/TEST//MSAs//SLC38A4_TRUE.fas,1400802,1.0055,0.0504
HDC,40,0.809798271,650,-1,0.130726058,0.130726058,0.128429322,0,0,0,2.25223417,5.475317956,1041,510,368,4639,1774,980,414,1471,8.554054054,148,45,10,11,18,4,3,16,4,0,69,10,5,109,120,74,466,/Users/kpolonsky/Downloads/TEST//MSAs//HDC_TRUE.fas,1465745,1.0016,0.0539
SLC4A10,40,0.840366972,623,-1,0.111294274,0.111294274,0.119550554,0,0,0,2.443115218,3.083850932,1090,767,716,4508,2460,430,445,1173,5.37,100,33,11,24,16,3,5,13,0,3,38,1,13,452,201,48,302,/Users/kpolonsky/Downloads/TEST//MSAs//SLC4A10_TRUE.fas,3269230,0.9983,0.0133
HHIP,40,0.801298701,521,-1,0.125066696,0.125066696,0.111521363,0,0,0,2.158751218,3.092494314,770,490,442,3957,2005,584,262,1106,4.81443299,97,39,7,23,22,2,4,8,2,1,28,3,8,250,121,37,250,/Users/kpolonsky/Downloads/TEST//MSAs//HHIP_TRUE.fas,1909556.5,0.9974,0.0185
